obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
126.8143,0.0002,126.814304,0.000005,7000,2.9e+07,D+,13474.4474,92329.905,3d7,a 4P,5/2,3d5.(4G).4s.4p.(3P*),v 4F*,5/2,,T6892c83,L18349c140,
126.8559,0.0002,126.855810,0.000006,6000,4.5e+07,D+,20805.7632,99635.420,3d7,a 2H,9/2,3d5.(4G).4s.4p.(3P*),2G*,7/2,,T6892c83,L18349c140,
126.8922,0.0002,126.892015,0.000005,5000,,,30764.4737,109571.639,3d6.(3G).4s,b 2G,7/2,3d5.(2G2).4s.4p.(3P*),4H*,7/2,,,L18349c140,
126.8950,0.0002,126.895716,0.000006,1400,,,20830.5534,99635.420,3d6.(3P2).4s,b 4P,5/2,3d5.(4G).4s.4p.(3P*),2G*,7/2,,,L18349c140,
126.9041,0.0002,126.904076,0.000005,7000,2.2e+07,D,13474.4474,92274.123,3d7,a 4P,5/2,3d6.(3P1).4p,4P*,5/2,,T6892c83,L18349c140,
126.9212,0.0005,126.92044,0.00006,6000,,,8846.7837,87636.30,3d6.(5D).4s,a 4D,1/2,3d5.(4P).4s.4p.(3P*),6D*,1/2,,,L18349c141,
126.9356,0.0002,126.935512,0.000008,6000,2.2e+07,D,13673.2045,92453.365,3d7,a 4P,3/2,3d6.(3F1).4p,4D*,1/2,,T6892c83,L18349c140,
126.9600,0.0002,126.960033,0.000005,1300,,,33466.4943,112231.439,3d6.(1G2).4s,c 2G,9/2,3d6.(3G).5p,4F*,7/2,,,L18349c140,
126.9823,0.0002,126.982351,0.000005,6000,2.4e+07,D,13474.4474,92225.549,3d7,a 4P,5/2,3d6.(5D).5p,4P*,3/2,,T6892c83,L18349c140,
126.9961,0.0002,126.995850,0.000005,5000,,,13904.8604,92647.591,3d7,a 4P,1/2,3d6.(3F1).4p,4D*,3/2,,,L18349c140,
127.1022,0.0002,127.102325,0.000006,1500,,,16369.4098,95046.177,3d7,a 2G,7/2,3d6.(3F1).4p,2F*,5/2,,,L18349c140,
127.1234,0.0002,127.123474,0.000006,8000,5.e+06,D,667.6829,79331.361,3d6.(5D).4s,a 6D,5/2,3d5.(6S).4s.4p.(1P*),x 6P*,7/2,,T6892c83,L18349c140,
127.1348,0.0002,127.134751,0.000005,6000,1.8e+07,D,13673.2045,92329.905,3d7,a 4P,3/2,3d5.(4G).4s.4p.(3P*),v 4F*,5/2,,T6892c83,L18349c140,
127.1592,0.0002,127.159228,0.000005,8000,7.e+07,D,13673.2045,92314.764,3d7,a 4P,3/2,3d6.(5D).5p,4P*,1/2,,T6892c83,L18349c140,
127.1974,0.0002,127.198570,0.000006,8000,5.7e+07,D+,667.6829,79284.919,3d6.(5D).4s,a 6D,5/2,3d5.(6S).4s.4p.(1P*),x 6P*,5/2,,T6892c83,L18349c140,
127.2160,0.0002,127.216160,0.000005,600,,,33466.4943,112072.860,3d6.(1G2).4s,c 2G,9/2,3d6.(3F2).5p,4G*,7/2,,,L18349c140,
127.2248,0.0002,127.224976,0.000005,8000,3.1e+07,D+,13673.2045,92274.123,3d7,a 4P,3/2,3d6.(3P1).4p,4P*,5/2,,T6892c83,L18349c140,
127.2617,,127.2616898,0.0000024,m(Fe II):,2.7e+07,D+,667.6829,79245.926,3d6.(5D).4s,a 6D,5/2,3d5.(6S).4s.4p.(1P*),x 6P*,3/2,,"T6370,T6892c83",,
127.2656,0.0005,127.265681,0.000005,9000,1.8e+07,D+,667.6829,79243.462,3d6.(5D).4s,a 6D,5/2,3d6.(1D2).4p,w 2P*,3/2,,"T6370,T6892c83",L18349c141,
127.3038,0.0002,127.303648,0.000005,4000,9.e+06,D,13673.2045,92225.549,3d7,a 4P,3/2,3d6.(5D).5p,4P*,3/2,,T6892c83,L18349c140,
127.3099,0.0002,127.309871,0.000008,8000,3.8e+07,D,13904.8604,92453.365,3d7,a 4P,1/2,3d6.(3F1).4p,4D*,1/2,,T6892c83,L18349c140,
127.4064,0.0002,127.406445,0.000005,6000,2.4e+07,D+,26170.1810,104659.146,3d6.(3H).4s,b 2H,11/2,3d5.(2I).4s.4p.(3P*),4H*,13/2,,T6892c83,L18349c140,
127.4470,0.0002,127.447088,0.000011,1200,7.e+06,D,26352.7671,104816.702,3d6.(3H).4s,b 2H,9/2,3d5.(2I).4s.4p.(3P*),4H*,11/2,,T6892c83,L18349c140,
127.5027,0.0002,127.503873,0.000005,7000,,,31483.1979,109912.188,3d6.(3D).4s,b 4D,7/2,3d6.(3H).5p,4I*,9/2,,,L18349c140,
127.5143,0.0002,127.514739,0.000007,7000,1.9e+07,D,862.6118,79284.919,3d6.(5D).4s,a 6D,3/2,3d5.(6S).4s.4p.(1P*),x 6P*,5/2,,T6892c83,L18349c140,
127.5348,0.0002,127.534910,0.000005,7000,2.6e+07,D,13904.8604,92314.764,3d7,a 4P,1/2,3d6.(5D).5p,4P*,1/2,,T6892c83,L18349c140,
127.5616,0.0002,127.561095,0.000005,1400,,,16369.4098,94763.218,3d7,a 2G,7/2,3d5.(4D).4s.4p.(3P*),6P*,7/2,,,L18349c140,
127.5693,0.0002,127.569142,0.000020,1800,,,23317.6351,101706.498,3d5.4s2,a 6S,5/2,3d5.(4D).4s.4p.(3P*),4P*,5/2,,,L18349c140,
127.5792,0.0002,127.578173,0.000005,8000,4.1e+07,D+,862.6118,79245.926,3d6.(5D).4s,a 6D,3/2,3d5.(6S).4s.4p.(1P*),x 6P*,3/2,,"T6370,T6892c83",L18349c140,
127.5824,0.0005,127.582183,0.000005,9000,2.7e+07,D+,862.6118,79243.462,3d6.(5D).4s,a 6D,3/2,3d6.(1D2).4p,w 2P*,3/2,,"T6370,T6892c83",L18349c141,
127.6602,0.0002,127.660074,0.000007,4000,,,31811.814,110144.841,3d7,b 2F,5/2,3d6.(3F2).5p,4F*,7/2,,,L18349c140,
127.6795,0.0002,127.680185,0.000005,7000,6.3e+07,D+,13904.8604,92225.549,3d7,a 4P,1/2,3d6.(5D).5p,4P*,3/2,,T6892c83,L18349c140,
127.6947,0.0002,127.695116,0.000007,700,,,13904.8604,92216.391,3d7,a 4P,1/2,3d6.(3P1).4p,u 2D*,3/2,,,L18349c140,
127.7275,0.0002,127.727477,0.000007,7000bl(C I),,,31999.049,110290.739,3d7,b 2F,7/2,3d6.(3F1).5p,4D*,5/2,,,L18349c140,
127.7658,0.0002,127.764707,0.000005,7000,2.9e+07,D+,977.0498,79245.926,3d6.(5D).4s,a 6D,1/2,3d5.(6S).4s.4p.(1P*),x 6P*,3/2,,"T6370,T6892c83",L18349c140,
127.7686,0.0005,127.768729,0.000005,9000,2.0e+07,D+,977.0498,79243.462,3d6.(5D).4s,a 6D,1/2,3d6.(1D2).4p,w 2P*,3/2,,"T6370,T6892c83",L18349c141,
127.8402,0.0002,127.83980,0.00003,1100,,,21430.3564,99653.257,3d6.(3H).4s,a 4H,11/2,3d6.(1G1).4p,2G*,9/2,,,L18349c140,
127.9097,0.0002,127.909995,0.000018,7000,4.1e+08,D+,25787.5816,103967.555,3d6.(3P2).4s,b 2P,3/2,3d5.(4P).4s.4p.(3P*),2S*,1/2,,T6892c83,L18349c140,
127.9569,0.0002,127.955866,0.000013,1200,,,8391.9554,86543.902,3d6.(5D).4s,a 4D,5/2,3d6.(3P1).4p,v 4D*,3/2,,,L18349c140,
128.0226,0.0005,128.022453,0.000007,1000bl(Ar I),,,44915.057,123026.355,3d6.(1F).4s,c 2F,7/2,3d6.(3H<6>).4f,2[5]*,9/2,,,L18349c141,
128.0329,0.0002,128.033625,0.000005,5000,,,30764.4737,108868.956,3d6.(3G).4s,b 2G,7/2,3d6.(3H).5p,4H*,9/2,,,L18349c140,
128.0527,0.0002,128.052733,0.000011,7000,2.3e+07,D+,20805.7632,98898.591,3d7,a 2H,9/2,3d6.(1G1).4p,2F*,7/2,,T6892c83,L18349c140,
128.0575,0.0002,128.056378,0.000007,2400,,,8391.9554,86482.560,3d6.(5D).4s,a 4D,5/2,3d6.(1F).4p,u 2F*,7/2,,,L18349c140,
128.0711,0.0002,128.071368,0.000005,800,,,25787.5816,103869.046,3d6.(3P2).4s,b 2P,3/2,3d6.(5D<1>).4f,2[2]*,3/2,,,L18349c140,
128.1302,0.0005,128.130690,0.000016,3300,,,21711.8963,99757.211,3d6.(3H).4s,a 4H,7/2,3d5.(4G).4s.4p.(3P*),2G*,9/2,,,L18349c141,
128.3060,0.0002,128.306118,0.000007,6000,2.7e+07,D+,20340.2461,98278.852,3d7,a 2H,11/2,3d6.(1G1).4p,2H*,11/2,,T6892c83,L18349c140,
128.3520,0.0002,128.351690,0.000007,6000,,,25787.5816,103698.515,3d6.(3P2).4s,b 2P,3/2,3d6.(5D<2>).4f,2[3]*,5/2,,,L18349c140,
128.3938,0.0002,128.393163,0.000005,800,,,25805.3270,103691.094,3d6.(3G).4s,a 4G,9/2,3d6.(5D<2>).4f,2[5]*,11/2,,,L18349c140,
128.4126,0.0005,128.411959,0.000012,3500,,,20516.9534,98391.320,3d7,a 2D2,5/2,3d5.(4D).4s.4p.(3P*),4D*,7/2,,,L18349c141,
128.4898,0.0005,128.489571,0.000007,2700,,,26055.4120,103882.740,3d6.(3G).4s,a 4G,5/2,3d6.(5D<1>).4f,2[4]*,7/2,,,L18349c141,
128.5684,0.0002,128.56944,0.00004,1000,,,16369.4098,94148.39,3d7,a 2G,7/2,3d5.(4G).4s.4p.(3P*),w 4G*,9/2,,,L18349c140,
128.5762,0.0005,128.576022,0.000005,2100,,,30764.4737,108539.473,3d6.(3G).4s,b 2G,7/2,3d5.(2F1).4s.4p.(3P*),4F*,5/2,,,L18349c141,
128.6156,0.0005,128.616028,0.000007,1900,,,32909.883,110660.690,3d6.(1I).4s,a 2I,11/2,3d5.(2F1).4s.4p.(3P*),2G*,9/2,,,L18349c141,
128.6425,0.0002,128.643101,0.000005,2900,,,13474.4474,91208.892,3d7,a 4P,5/2,3d6.(5D).5p,4F*,3/2,,,L18349c140,
128.6910,0.0002,128.691090,0.000007,3400,1.6e+07,D,20830.5534,98536.011,3d6.(3P2).4s,b 4P,5/2,3d5.(4D).4s.4p.(3P*),4F*,7/2,,T6892c83,L18349c140,
128.7418,0.0002,128.741733,0.000007,800bl(Fe II)*,,,38660.0537,116334.944,3d6.(5D).4p,z 6D*,7/2,3d5.4s.(5S).4d,6D,9/2,,,L18349c140,
128.7418,0.0002,128.742432,0.000007,800bl(Fe II)*,6.e+06,D,20830.5534,98505.022,3d6.(3P2).4s,b 4P,5/2,3d5.(4D).4s.4p.(3P*),4D*,5/2,,T6892c83,L18349c140,
128.7732,0.0005,128.772722,0.000007,2700,,,26055.4120,103711.610,3d6.(3G).4s,a 4G,5/2,3d6.(5D<2>).4f,2[4]*,7/2,,,L18349c141,
128.8253,0.0005,128.825253,0.000007,10000,,,862.6118,78487.144,3d6.(5D).4s,a 6D,3/2,3d6.(1D2).4p,w 2D*,3/2,,,L18349c141,
128.8401,0.0005,128.840008,0.000007,2000,,,31387.9788,109003.621,3d6.(3D).4s,b 4D,5/2,3d5.(2F1).4s.4p.(3P*),4D*,3/2,,,L18349c141,
128.8902,0.0005,128.889969,0.000012,3500,,,20805.7632,98391.320,3d7,a 2H,9/2,3d5.(4D).4s.4p.(3P*),4D*,7/2,,,L18349c141,
128.9095,0.0002,128.909540,0.000005,5000,1.8e+07,D,13474.4474,91048.225,3d7,a 4P,5/2,3d6.(3P1).5p,4P*,3/2,,T6892c83,L18349c140,
128.9311,0.0002,128.931165,0.000012,6000,2.7e+07,D+,20830.5534,98391.320,3d6.(3P2).4s,b 4P,5/2,3d5.(4D).4s.4p.(3P*),4D*,7/2,,T6892c83,L18349c140,
128.9546,0.0005,128.95479,0.00005,2700,,,25787.5816,103334.14,3d6.(3P2).4s,b 2P,3/2,3d5.(4D).4s.4p.(3P*),2F*,5/2,,,L18349c141,
129.0147,0.0005,129.013803,0.000012,4000bl(Fe II)*,,,20340.2461,97851.332,3d7,a 2H,11/2,3d6.(1G1).4p,2H*,9/2,,,L18349c141,
129.0147,0.0005,129.015454,0.000008,4000bl(Fe II)*,,,977.0498,78487.144,3d6.(5D).4s,a 6D,1/2,3d6.(1D2).4p,w 2D*,3/2,,,L18349c141,
129.0187,0.0002,129.019267,0.000007,7000,1.7e+08,D+,20830.5534,98338.357,3d6.(3P2).4s,b 4P,5/2,3d5.(4P).4s.4p.(3P*),4S*,3/2,,T6892c83,L18349c140,
129.0353,0.0002,129.035050,0.000005,4000,,,30388.5451,107886.868,3d6.(3G).4s,b 2G,9/2,3d5.(4F).4s.4p.(3P*),6D*,7/2,,,L18349c140,
129.0774,0.0002,129.077079,0.000007,6000bl(Fe II)*,,,20805.7632,98278.852,3d7,a 2H,9/2,3d6.(1G1).4p,2H*,11/2,,,L18349c140,
129.0774,0.0002,129.077627,0.000007,6000bl(Fe II)*,6.e+07,E,32875.6409,110348.401,3d6.(1I).4s,a 2I,13/2,3d5.(2G2).4s.4p.(3P*),4H*,13/2,,T6892c83,L18349c140,
129.1168,0.0005,129.116529,0.000005,2000,,,31483.1979,108932.616,3d6.(3D).4s,b 4D,7/2,3d6.(3P2).5p,2D*,5/2,,,L18349c141,
129.1274,0.0002,129.127729,0.000007,1100,,,33501.2957,110943.996,3d6.(1G2).4s,c 2G,7/2,3d6.(3H).5p,2H*,9/2,,,L18349c140,
129.1579,0.0002,129.158199,0.000005,7000,1.4e+07,D,13474.4474,90898.878,3d7,a 4P,5/2,3d6.(5D).5p,4D*,3/2,,T6892c83,L18349c140,
129.1824,0.0005,129.181549,0.000007,2100,,,31368.453,108778.889,3d6.(3D).4s,b 4D,1/2,3d5.(2F1).4s.4p.(3P*),4F*,3/2,,,L18349c141,
129.1862,0.0002,129.185391,0.000007,1100,4.2e+06,D,27620.4033,105028.537,3d6.(3F2).4s,a 2F,5/2,3d5.(2I).4s.4p.(3P*),4H*,7/2,,T6892c83,L18349c140,
129.2405,0.0002,129.240677,0.000007,2200,,,13673.2045,91048.225,3d7,a 4P,3/2,3d6.(3P1).5p,4P*,3/2,,,L18349c140,
129.2673,0.0005,129.267351,0.000005,2700bl(Fe II)*,,,25981.6451,103340.699,3d6.(3G).4s,a 4G,7/2,3d6.(5D<3>).4f,2[4]*,7/2,,,L18349c141,
129.2673,0.0005,129.267704,0.000007,2700bl(Fe II)*,,,26352.7671,103711.610,3d6.(3H).4s,b 2H,9/2,3d6.(5D<2>).4f,2[4]*,7/2,,,L18349c141,
129.3039,0.0002,129.304008,0.000007,6000,3.3e+07,E,32909.883,110247.006,3d6.(1I).4s,a 2I,11/2,3d6.(3H).5p,2I*,11/2,,T6892c83,L18349c140,
129.3224,0.0005,129.323556,0.000007,1400,,,39013.2160,116338.649,3d6.(5D).4p,z 6D*,3/2,3d5.4s.(5S).4d,6D,5/2,,,L18349c141,
129.3583,0.0005,129.359359,0.000007,5000,,,13904.8604,91208.892,3d7,a 4P,1/2,3d6.(5D).5p,4F*,3/2,,,L18349c141,
129.3905,0.0005,129.390218,0.000007,2200,,,30388.5451,107674.140,3d6.(3G).4s,b 2G,9/2,3d5.(2F1).4s.4p.(3P*),4G*,9/2,,,L18349c141,
129.4258,0.0005,129.425177,0.000007,2100,,,31364.4554,108629.175,3d6.(3D).4s,b 4D,3/2,3d5.(4G).4s.4p.(1P*),4G*,5/2,,,L18349c141,
129.4905,0.0002,129.489372,0.000008,6000bl(Fe II)*,,,39109.3161,116335.731,3d6.(5D).4p,z 6D*,1/2,3d5.4s.(5S).4d,6D,3/2,,,L18349c140,
129.4905,0.0002,129.490616,0.000007,6000bl(Fe II)*,2.7e+07,D,13673.2045,90898.878,3d7,a 4P,3/2,3d6.(5D).5p,4D*,3/2,,T6892c83,L18349c140,
129.5434,0.0002,129.543419,0.000007,6000,,,33466.4943,110660.690,3d6.(1G2).4s,c 2G,9/2,3d5.(2F1).4s.4p.(3P*),2G*,9/2,,,L18349c140,
129.5636,0.0005,129.562978,0.000005,2700bl(Ar I),,,26170.1810,103352.723,3d6.(3H).4s,b 2H,11/2,3d6.(5D<3>).4f,2[5]*,9/2,,,L18349c141,
129.5747,0.0005,129.575610,0.000007,2100bl(Fe II)*,,,31364.4554,108539.473,3d6.(3D).4s,b 4D,3/2,3d5.(2F1).4s.4p.(3P*),4F*,5/2,,,L18349c141,
129.5747,0.0005,129.57569,0.00004,2100bl(Fe II)*,,,25805.3270,102980.30,3d6.(3G).4s,a 4G,9/2,3d5.(2I).4s.4p.(3P*),4I*,11/2,,,L18349c141,
129.5903,0.0002,129.590276,0.000007,2600bl(Fe II)*,,,13673.2045,90839.488,3d7,a 4P,3/2,3d6.(3P1).4p,4P*,1/2,,,L18349c140,
129.5903,0.0002,129.590531,0.000013,2600bl(Fe II)*,,,21430.3564,98596.488,3d6.(3H).4s,a 4H,11/2,3d5.(4D).4s.4p.(3P*),4F*,9/2,,,L18349c140,
129.6080,0.0002,129.608617,0.000008,7000,1.7e+08,D+,13474.4474,90629.811,3d7,a 4P,5/2,3d6.(3P1).4p,4S*,3/2,,T6892c83,L18349c140,
129.6288,0.0002,129.628777,0.000007,6000,2.6e+07,D,13904.8604,91048.225,3d7,a 4P,1/2,3d6.(3P1).5p,4P*,3/2,,T6892c83,L18349c140,
129.7509,0.0002,129.750907,0.000007,5000,1.5e+07,E,32909.883,109980.635,3d6.(1I).4s,a 2I,11/2,3d5.(2H).4s.4p.(3P*),4H*,11/2,,T6892c83,L18349c140,
129.7930,0.0002,129.793318,0.000012,6000,3.0e+07,D+,20805.7632,97851.332,3d7,a 2H,9/2,3d6.(1G1).4p,2H*,9/2,,T6892c83,L18349c140,
129.8114,0.0002,129.811428,0.000019,6000,1.6e+08,D+,26932.7348,103967.555,3d6.(3P2).4s,b 2P,1/2,3d5.(4P).4s.4p.(3P*),2S*,1/2,,T6892c83,L18349c140,
129.8633,0.0005,129.863745,0.000007,2100,,,31368.453,108372.239,3d6.(3D).4s,b 4D,1/2,3d6.(3P2).5p,4S*,3/2,,,L18349c141,
129.8802,0.0002,129.880221,0.000007,6000,,,13904.8604,90898.878,3d7,a 4P,1/2,3d6.(5D).5p,4D*,3/2,,,L18349c140,
129.9283,0.0002,129.928144,0.000007,1000,1.0e+07,D,13673.2045,90638.823,3d7,a 4P,3/2,3d6.(5D).5p,4D*,5/2,,T6892c83,L18349c140,
129.9304,0.0005,129.930098,0.000005,2200,,,30764.4737,107728.935,3d6.(3G).4s,b 2G,7/2,3d5.(2D3).4s.4p.(3P*),2D*,5/2,,,L18349c141,
129.9427,0.0005,129.943360,0.000008,18000,9.e+07,D+,13673.2045,90629.811,3d7,a 4P,3/2,3d6.(3P1).4p,4S*,3/2,,T6892c83,L18349c144,
129.9814,0.0002,129.980482,0.000007,3500bl(Fe II)*,,,13904.8604,90839.488,3d7,a 4P,1/2,3d6.(3P1).4p,4P*,1/2,,,L18349c140,
129.9814,0.0002,129.982274,0.000007,3500bl(Fe II)*,,,31999.049,108932.616,3d7,b 2F,7/2,3d6.(3P2).5p,2D*,5/2,,,L18349c140,
129.9995,0.0002,129.999411,0.000005,1000,7.e+06,D,13474.4474,90397.873,3d7,a 4P,5/2,3d6.(5D).5p,4D*,7/2,,T6892c83,L18349c140,
130.0365,0.0002,130.036942,0.000007,1000,,,2430.1369,79331.361,3d7,a 4F,7/2,3d5.(6S).4s.4p.(1P*),x 6P*,7/2,,,L18349c140,
130.0541,0.0002,130.054044,0.000007,600,,,30764.4737,107655.585,3d6.(3G).4s,b 2G,7/2,3d6.(5D).6p,4D*,5/2,,,L18349c140,
130.0643,0.0002,130.064457,0.000007,1900,1.0e+07,D,27620.4033,104505.359,3d6.(3F2).4s,a 2F,5/2,3d5.(2D3).4s.4p.(3P*),4F*,3/2,,T6892c83,L18349c140,
130.1198,0.0002,130.119628,0.000007,5000,7.e+06,D,32909.883,109762.239,3d6.(1I).4s,a 2I,11/2,3d6.(3H).5p,4I*,11/2,,T6892c83,L18349c140,
130.1560,0.0002,130.15593,0.00004,800,7.e+06,D,26352.7671,103183.69,3d6.(3H).4s,b 2H,9/2,3d5.(4D).4s.4p.(3P*),2F*,7/2,,T6892c83,L18349c140,
130.1610,0.0005,130.161830,0.000007,2100,,,31364.4554,108191.894,3d6.(3D).4s,b 4D,3/2,3d5.(4F).4s.4p.(3P*),6D*,3/2,,,L18349c141,
130.1763,0.0002,130.175725,0.000007,800,,,31811.814,108631.052,3d7,b 2F,5/2,3d5.(4G).4s.4p.(1P*),4G*,7/2,,,L18349c140,
130.1827,0.0005,130.183547,0.000007,5000bl(Ar I),,,13673.2045,90487.827,3d7,a 4P,3/2,3d6.(5D).5p,6F*,5/2,,,L18349c141,
130.3033,0.0002,130.303239,0.000007,5000,2.4e+07,E,32875.6409,109619.704,3d6.(1I).4s,a 2I,13/2,3d6.(3H).5p,4I*,13/2,,T6892c83,L18349c140,
130.3200,0.0002,130.319651,0.000005,1400,3.6e+06,D,31483.1979,108217.596,3d6.(3D).4s,b 4D,7/2,3d5.(2F1).4s.4p.(3P*),4F*,9/2,,T6892c83,L18349c140,
130.3356,0.0002,130.335698,0.000008,6000,4.0e+07,D+,13904.8604,90629.811,3d7,a 4P,1/2,3d6.(3P1).4p,4S*,3/2,,T6892c83,L18349c140,
130.3898,0.0002,130.390036,0.000007,6000,3.4e+07,D+,21812.0454,98505.022,3d6.(3P2).4s,b 4P,3/2,3d5.(4D).4s.4p.(3P*),4D*,5/2,,T6892c83,L18349c140,
130.4436,0.0002,130.44347,0.00009,6000,5.0e+07,D+,25787.5816,102449.14,3d6.(3P2).4s,b 2P,3/2,3d5.(4D).4s.4p.(3P*),2D*,5/2,,T6892c83,L18349c140,
130.5372,0.0002,130.536014,0.000005,400,,,30764.4737,107371.685,3d6.(3G).4s,b 2G,7/2,3d5.(2D1).4s.4p.(3P*),4D*,5/2,,,L18349c140,
130.5520,0.0002,130.551952,0.000007,1400,2.2e+07,D,22409.8178,99007.677,3d6.(3P2).4s,b 4P,1/2,3d5.(4D).4s.4p.(3P*),4D*,1/2,,T6892c83,L18349c140,
130.5785,0.0002,130.578444,0.000007,900,,,15844.6485,92426.967,3d7,a 2G,9/2,3d5.(4G).4s.4p.(3P*),v 4F*,9/2,,,L18349c140,
130.6020,0.0002,130.603167,0.000005,6000,,,27314.9183,103882.740,3d6.(3F2).4s,a 2F,7/2,3d6.(5D<1>).4f,2[4]*,7/2,,,L18349c140,
130.6740,0.0002,130.674010,0.000007,5000,5.5e+07,D+,21812.0454,98338.357,3d6.(3P2).4s,b 4P,3/2,3d5.(4P).4s.4p.(3P*),4S*,3/2,,T6892c83,L18349c140,
130.6830,0.0002,130.682927,0.000005,5000,,,38458.9934,114980.083,3d6.(5D).4p,z 6D*,9/2,3d6.(5D).6d,6P,7/2,,,L18349c140,
130.7217,0.0002,130.720852,0.000005,3100,,,31387.9788,107886.868,3d6.(3D).4s,b 4D,5/2,3d5.(4F).4s.4p.(3P*),6D*,7/2,,,L18349c140,
130.7261,0.0002,130.725876,0.000009,5000,2.6e+07,D,20830.5534,97326.503,3d6.(3P2).4s,b 4P,5/2,3d5.(4P).4s.4p.(3P*),2P*,3/2,,T6892c83,L18349c140,
130.7452,0.0005,130.744248,0.000007,2700,,,26932.7348,103417.935,3d6.(3P2).4s,b 2P,1/2,3d6.(5D<3>).4f,2[1]*,3/2,,,L18349c141,
130.7616,0.0002,130.761559,0.000005,600bl(Fe II)*,,,30388.5451,106863.620,3d6.(3G).4s,b 2G,9/2,3d6.(5D).6p,4D*,7/2,,,L18349c140,
130.7616,0.0002,130.762639,0.000007,600bl(Fe II)*,,,33501.2957,109975.739,3d6.(1G2).4s,c 2G,7/2,3d6.(3H).5p,4G*,7/2,,,L18349c140,
130.8223,0.0005,130.823337,0.000005,2100,,,31387.9788,107826.940,3d6.(3D).4s,b 4D,5/2,3d6.(5D).6p,6P*,3/2,,,L18349c141,
130.8545,0.0005,130.854126,0.000010,3500,,,21430.3564,97851.332,3d6.(3H).4s,a 4H,11/2,3d6.(1G1).4p,2H*,9/2,,,L18349c141,
130.8841,0.0002,130.883765,0.000005,600,,,31483.1979,107886.868,3d6.(3D).4s,b 4D,7/2,3d5.(4F).4s.4p.(3P*),6D*,7/2,,,L18349c140,
130.8965,0.0002,130.896407,0.000007,1100,9.e+06,D,32875.6409,109271.932,3d6.(1I).4s,a 2I,13/2,3d5.(2I).4s.4p.(3P*),2I*,11/2,,T6892c83,L18349c140,
130.9111,0.0002,130.910900,0.000005,4000,,,38660.0537,115047.887,3d6.(5D).4p,z 6D*,7/2,3d6.(5D).6d,6P,5/2,,,L18349c140,
130.9275,0.0002,130.926904,0.000007,1300,,,18360.6399,94739.136,3d7,a 2P,3/2,3d5.(4P).4s.4p.(3P*),4P*,3/2,,,L18349c140,
130.9550,0.0002,130.955103,0.000007,5000,3.1e+08,E,32909.883,109271.932,3d6.(1I).4s,a 2I,11/2,3d5.(2I).4s.4p.(3P*),2I*,11/2,,T6892c83,L18349c140,
130.9907,0.0005,130.991286,0.000005,2100,,,31387.9788,107728.935,3d6.(3D).4s,b 4D,5/2,3d5.(2D3).4s.4p.(3P*),2D*,5/2,,,L18349c141,
130.9929,0.0002,130.993312,0.000007,800,,,18360.6399,94700.415,3d7,a 2P,3/2,3d6.(3F1).4p,2D*,5/2,,,L18349c140,
131.0152,0.0002,131.015166,0.000007,1300,,,15844.6485,92171.690,3d7,a 2G,9/2,3d6.(3F1).4p,u 2G*,9/2,,,L18349c140,
131.0274,0.0002,131.027203,0.000005,2900bl(Fe II)*,,,38660.0537,114980.083,3d6.(5D).4p,z 6D*,7/2,3d6.(5D).6d,6P,7/2,,,L18349c140,
131.0274,0.0002,131.027365,0.000007,2900bl(Fe II)*,,,26170.1810,102490.116,3d6.(3H).4s,b 2H,11/2,3d5.(2I).4s.4p.(3P*),4K*,13/2,,,L18349c140,
131.0588,0.0005,131.058485,0.000005,2200,1.5e+07,E,30388.5451,106690.358,3d6.(3G).4s,b 2G,9/2,3d5.(2I).4s.4p.(3P*),2H*,11/2,,T6892c83,L18349c141,
131.1057,0.0002,131.106326,0.000005,5000,3.0e+08,E,32875.6409,109149.611,3d6.(1I).4s,a 2I,13/2,3d5.(2I).4s.4p.(3P*),2I*,13/2,,T6892c83,L18349c140,
131.1173,0.0002,131.117266,0.000005,800,,,31387.9788,107655.585,3d6.(3D).4s,b 4D,5/2,3d6.(5D).6p,4D*,5/2,,,L18349c140,
131.1612,0.0002,131.160940,0.000009,4000,1.6e+07,E,30764.4737,107006.684,3d6.(3G).4s,b 2G,7/2,3d5.(2I).4s.4p.(3P*),2H*,9/2,,T6892c83,L18349c140,
131.1765,0.0002,131.176269,0.000007,2000,,,16369.4098,92602.711,3d7,a 2G,7/2,3d6.(3F1).4p,u 2G*,7/2,,,L18349c140,
131.2497,0.0002,131.249197,0.000005,2800,3.4e+06,D,31483.1979,107674.140,3d6.(3D).4s,b 4D,7/2,3d5.(2F1).4s.4p.(3P*),4G*,9/2,,T6892c83,L18349c140,
131.2527,0.0002,131.252685,0.000005,3500,,,38858.9696,115047.887,3d6.(5D).4p,z 6D*,5/2,3d6.(5D).6d,6P,5/2,,,L18349c140,
131.3183,0.0002,131.317171,0.000005,1200bl(Fe II)*,,,13474.4474,89625.951,3d7,a 4P,5/2,3d5.(4P).4s.4p.(3P*),6P*,3/2,,,L18349c140,
131.3183,0.0002,131.318221,0.000005,1200bl(Fe II)*,,,38858.9696,115009.864,3d6.(5D).4p,z 6D*,5/2,3d6.(5D).6d,6P,3/2,,,L18349c140,
