obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
97.8366,0.0002,97.836622,0.000004,8000,2.2e+08,E,7955.3186,110166.534,3d6.(5D).4s,a 4D,7/2,3d6.(3F2).5p,4F*,9/2,,T6892c83,L18349c140,
98.1370,0.0002,98.136598,0.000004,17000,4.6e+07,D,8391.9554,110290.739,3d6.(5D).4s,a 4D,5/2,3d6.(3F1).5p,4D*,5/2,,T6892c83,L18349c140,
98.4760,0.0002,98.475979,0.000004,7000,2.4e+07,D,1872.5998,103420.207,3d7,a 4F,9/2,3d6.(5D<3>).4f,2[6]*,11/2,,T6892c83,L18349c140,
98.9661,0.0002,98.966043,0.000004,3000,2.1e+07,D,2837.9807,103882.740,3d7,a 4F,5/2,3d6.(5D<1>).4f,2[4]*,7/2,,T6892c83,L18349c140,
98.9803,0.0002,98.979457,0.000004,18000,,,2837.9807,103869.046,3d7,a 4F,5/2,3d6.(5D<1>).4f,2[2]*,3/2,,,L18349c140,
98.9894,0.0002,98.989489,0.000004,18000,1.0e+08,D+,1872.5998,102893.426,3d7,a 4F,9/2,3d6.(5D<4>).4f,2[6]*,11/2,,T6892c83,L18349c140,
99.0004,0.0002,99.000271,0.000004,11000,3.1e+07,D+,1872.5998,102882.424,3d7,a 4F,9/2,3d6.(5D<4>).4f,2[4]*,9/2,,T6892c83,L18349c140,
99.0315,0.0002,99.030693,0.000004,2100,1.2e+07,D,1872.5998,102851.394,3d7,a 4F,9/2,3d6.(5D<4>).4f,2[5]*,9/2,,T6892c83,L18349c140,
99.0801,0.0002,99.079618,0.000004,17000,,,3117.4877,104046.419,3d7,a 4F,3/2,3d6.(5D<0>).4f,2[3]*,5/2,,,L18349c140,
99.0856,0.0002,99.085848,0.000004,14000,5.4e+07,D+,2430.1369,103352.723,3d7,a 4F,7/2,3d6.(5D<3>).4f,2[5]*,9/2,,T6892c83,L18349c140,
99.1108,0.0002,99.111654,0.000004,1700,,,2430.1369,103326.445,3d7,a 4F,7/2,3d6.(5D<3>).4f,2[4]*,9/2,,,L18349c140,
99.1340,0.0002,99.133937,0.000004,2300,1.1e+07,D,2837.9807,103711.610,3d7,a 4F,5/2,3d6.(5D<2>).4f,2[4]*,7/2,,T6892c83,L18349c140,
99.1579,0.0002,99.157098,0.000011,20000bl(Fe II)*,,,3117.4877,103967.555,3d7,a 4F,3/2,3d5.(4P).4s.4p.(3P*),2S*,1/2,,,L18349c140,
99.1579,0.0002,99.158583,0.000004,20000bl(Fe II)*,,,8680.4706,109529.028,3d6.(5D).4s,a 4D,3/2,3d6.(3P2).5p,4P*,1/2,,,L18349c140,
99.1690,0.0002,99.168111,0.000004,2200,1.8e+07,D,2837.9807,103676.848,3d7,a 4F,5/2,3d6.(5D<2>).4f,2[3]*,7/2,,T6892c83,L18349c140,
99.1829,0.0002,99.183662,0.000004,8000,,,2837.9807,103661.038,3d7,a 4F,5/2,3d6.(5D<2>).4f,2[2]*,5/2,,,L18349c140,
99.4224,0.0002,99.422329,0.000004,16000bl(Fe II)*,5.9e+07,D+,3117.4877,103698.515,3d7,a 4F,3/2,3d6.(5D<2>).4f,2[3]*,5/2,,T6892c83,L18349c140,
