Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(5D).6p,6P*,3/2,,107826.940,,0.004,76.400,,  23  3d6.(5D).6p 6P*                 :    20  3d6.(5D).6p             4D*   ,L18349c137
3d5.(4F).4s.4p.(3P*),6D*,7/2,,107886.868,,0.004,59.928,,  66  3d5.4s.(5F).4p 6D*              :     9  3d5.4s.(5F).4p          6F*   ,L18349c137
3d6.(5D).6p,4P*,3/2,,107947.255,,0.004,60.387,,  32  3d6.(5D).6p 6P*                 :    15  3d5.4s.(5F).4p          6D*   ,L18349c137
3d5.(4F).4s.4p.(3P*),6D*,9/2,,107966.642,,0.004,19.387,,  79  3d5.4s.(5F).4p 6D*              :    11  3d5.4s.(5F).4p          6F*   ,L18349c137
3d6.(5D).6p,4P*,1/2,,108086.672,,0.004,120.030,,  52  3d6.(5D).6p 4P*                 :    26  3d5.4s.(5F).4p          6D*   ,L18349c137
3d6.(3F2).4d,2P,3/2,,108105.938,,0.005,19.266,,  33                                  :    24  3d6.(3G).4d             4D    ,"L18349,L18361c138"
3d5.(4F).4s.4p.(3P*),6D*,5/2,,108130.542,,0.004,24.604,,  46  3d5.4s.(5F).4p 6D*              :    11  3d6.(5D).6p             6D*   ,L18349c137
3d6.(3G).4d,4H,13/2,,108133.473,,0.004,2.931,,  98                                                                         ,"L18349,L18361c138"
3d6.(3G).4d,4G,11/2,,108181.564,,0.004,48.091,,  90                                  :     3  3d6.(3G).4d             4H    ,"L18349,L18361c138"
3d5.(4F).4s.4p.(3P*),6D*,3/2,,108191.894,,0.004,10.330,,  39  3d5.4s.(5F).4p 6D*              :    33  3d6.(5D).6p             6P*   ,L18349c137
3d5.(2F1).4s.4p.(3P*),4F*,9/2,,108217.596,,0.004,25.702,,  37  3d5.(2F1).4s.(3F).4p 4F*        :    21  3d5.(2D3).4s.(3D).4p    4F*   ,L18349c137
3d5.(2F1).4s.4p.(3P*),4D*,7/2,,108239.375,,0.004,21.779,,  20  3d5.(2F1).4s.(3F).4p 4D*        :    19  3d5.(2F1).4s.(3F).4p    4F*   ,L18349c137
3d6.(3G).4d,4I,15/2,,108337.798,,0.004,98.423,,  98                                                                         ,"L18349,L18361c138"
3d6.(3G).4d,4D,7/2,,108365.344,,0.004,27.546,,  88                                  :     5  3d6.(3G).4d             4G    ,"L18349,L18361c138"
3d6.(3P2).5p,4S*,3/2,,108372.239,,0.004,6.895,,  35  3d6.(3P2).5p 4S*                :    20  3d6.(3P1).5p            4S*   ,L18349c137
3d6.(3G).4d,4H,11/2,,108387.934,,0.004,15.695,,  92                                  :     3  3d6.(3G).4d             4G    ,"L18349,L18361c138"
3d6.(3G).4d,4G,9/2,,108391.507,,0.004,3.573,,  83                                  :     6  3d6.(3G).4d             4H    ,"L18349,L18361c138"
3d6.(3G).4d,4I,13/2,,108463.918,,0.004,72.411,,  65                                  :    26  3d6.(3G).4d             2I    ,"L18349,L18361c138"
3d6.(3H).5p,4G*,11/2,,108483.877,,0.004,19.959,,  52  3d6.(3H).5p 4G*                 :    16  3d5.(2F1).4s.(3F).4p    4G*   ,L18349c137
3d5.(2F1).4s.4p.(3P*),4F*,7/2,,108518.643,,0.004,34.766,,  23  3d5.(2F1).4s.(3F).4p 4D*        :    17  3d5.(2F1).4s.(3F).4p    4F*   ,L18349c137
3d6.(3G).4d,4G,7/2,,108537.623,,0.004,18.980,,  83                                  :     4  3d6.(3G).4d             4D    ,"L18349,L18361c138"
3d5.(2F1).4s.4p.(3P*),4F*,5/2,,108539.473,,0.004,1.850,,  21  3d5.(2F1).4s.(3F).4p 4F*        :    16  3d5.(2F1).4s.(3F).4p    4D*   ,L18349c137
3d6.(3H).5p,4G*,9/2,,108571.060,,0.004,31.587,,  46  3d6.(3H).5p 4G*                 :    16  3d5.(4G).4s.(5G).4p     4G*   ,L18349c137
3d6.(3G).4d,4H,9/2,,108577.597,,0.004,6.537,,  88                                  :     6  3d6.(3G).4d             4G    ,"L18349,L18361c138"
3d6.(3G).4d,4G,5/2,,108613.977,,0.004,36.380,,  69                                  :    24  3d6.(3G).4d             4D    ,"L18349,L18361c138"
3d5.(4G).4s.4p.(1P*),4G*,5/2,,108629.175,,0.004,15.198,,  40  3d6.(3H).5p 4G*                 :    23  3d5.4s.(5G).4p          4G*   ,L18349c137
3d6.(1I).5s,2I,11/2,,108630.427,,0.005,1.252,,  97                                  :     2  3d6.(3G).4d             2I    ,"L18349,L18361c138"
3d5.(4G).4s.4p.(1P*),4G*,7/2,,108631.052,,0.004,0.625,,  42  3d6.(3H).5p 4G*                 :    19  3d5.(4G).4s.(5G).4p     4G*   ,L18349c137
3d6.(3G).4d,4D,5/2,,108642.450,,0.004,11.398,,  62                                  :    24  3d6.(3G).4d             4G    ,"L18349,L18361c138"
3d6.(1I).5s,2I,13/2,,108648.712,,0.004,6.262,,  88                                  :    11  3d6.(3G).4d             4I    ,"L18349,L18361c138"
3d6.(3D).5s,4D,3/2,,108662.300,,0.005,13.588,,  98                                                                         ,"L18349,L18361c138"
3d6.(3D).5s,4D,1/2,,108667.282,,0.006,4.982,,  99                                                                         ,"L18349,L18361c138"
3d6.(3G).4d,4H,7/2,,108709.424,,0.005,42.142,,  92                                  :     2  3d6.(3G).4d             4G    ,"L18349,L18361c138"
3d6.(3D).5s,4D,5/2,,108712.415,,0.005,2.991,,  95                                  :     3  3d6.(3G).4d             4D    ,"L18349,L18361c138"
3d6.(3H).5p,4H*,13/2,,108729.162,,0.004,16.747,,  54  3d6.(3H).5p 4H*                 :    21  3d5.(4G).4s.(5G).4p     4H*   ,L18349c137
3d6.(3G).4d,4I,11/2,,108775.110,,0.004,45.948,,  88                                  :     5  3d6.(3G).4d             2I    ,"L18349,L18361c138"
3d5.(2F1).4s.4p.(3P*),4F*,3/2,,108778.889,,0.004,3.779,,  21  3d5.(2F1).4s.(3F).4p 4D*        :    20  3d5.(2F1).4s.(3F).4p    4F*   ,L18349c137
3d5.(2F1).4s.4p.(3P*),4D*,1/2,,108793.109,,0.004,14.220,,  63  3d5.(2F1).4s.(3F).4p 4D*        :     6  3d6.(3P2).5p            4D*   ,L18349c137
3d6.(3D).5s,4D,7/2,,108804.711,,0.005,11.602,, 100                                                                         ,"L18349,L18361c138"
3d6.(3P2).5p,4P*,5/2,,108807.527,,0.004,2.816,,  40  3d6.(3P2).5p 4P*                :    26  3d6.(3P1).5p            4P*   ,L18349c137
3d5.(4G).4s.(5G).4p,4H*,11/2,,108809.810,,0.004,2.283,,  48  3d6.(3H).5p 4H*                 :    23  3d5.(4G).4s.(5G).4p     4H*   ,L18349c137
3d6.(3G).4d,4D,3/2,,108859.487,,0.004,49.677,,  68                                  :    14  3d6.(3F2).4d            2P    ,"L18349,L18361c138"
3d6.(3H).5p,4H*,9/2,,108868.956,,0.004,9.469,,  43  3d6.(3H).5p 4H*                 :    25  3d5.(4G).4s.(5G).4p     4H*   ,L18349c137
3d5.(4G).4s.4p.(1P*),4H*,7/2,,108906.631,,0.004,37.675,,  40  3d6.(3H).5p 4H*                 :    27  3d5.(4G).4s.(5G).4p     4H*   ,L18349c137
3d6.(3G).4d,4D,1/2,,108927.126,,0.006,20.495,,  84                                  :     8  3d6.(3F2).4d            2P    ,"L18349,L18361c138"
3d6.(3G).4d,4I,9/2,,108929.031,,0.005,1.905,,  95                                  :     2  3d6.(3H).4d             4I    ,"L18349,L18361c138"
3d6.(3P2).5p,2D*,5/2,,108932.616,,0.004,3.585,,  22  3d6.(3P2).5p 2D*                :    14  3d6.(3P1).5p            2D*   ,L18349c137
3d5.(2F1).4s.4p.(3P*),4D*,3/2,,109003.621,,0.004,71.005,,  27  3d5.(2F1).4s.(3F).4p 4D*        :    10  3d5.(2F1).4s.(3F).4p    4F*   ,L18349c137
3d6.(3G).4d,2I,13/2,,109049.611,,0.004,45.990,,  72                                  :    20  3d6.(3G).4d             4I    ,"L18349,L18361c138"
3d5.(2I).4s.4p.(3P*),2I*,13/2,,109149.611,,0.004,100.000,,  58  3d5.(2I).4s.(1I).4p 2I*         :    13  3d5.(2I).4s.(3I).4p     2I*   ,L18349c137
3d5.(2I).4s.4p.(3P*),2I*,11/2,,109271.932,,0.004,122.321,,  65  3d5.(2I).4s.(1I).4p 2I*         :    14  3d5.(2I).4s.(3I).4p     2I*   ,L18349c137
3d6.(3G).4d,2I,11/2,,109389.879,,0.005,117.947,,  89                                  :     6  3d6.(3G).4d             4I    ,"L18349,L18361c138"
3d5.4s.(7S).4d,8D,3/2,,109449.894,,0.012,60.01,,  97                                  :     2  3d5.4s.(7S).4d          6D    ,"L18349,L18361c138"
3d5.4s.(7S).4d,8D,5/2,,109455.629,,0.014,5.74,,  95                                  :     3  3d5.4s.(7S).4d          6D    ,"L18349,L18361c138"
3d6.(3P2).5p,4P*,3/2,,109456.381,,0.004,0.75,,  19  3d6.(3P2).5p 4P*                :    12  3d6.(3P1).5p            4P*   ,L18349c137
3d5.4s.(7S).4d,8D,7/2,,109463.670,,0.012,7.29,,  94                                  :     4  3d5.4s.(7S).4d          6D    ,"L18349,L18361c138"
3d5.4s.(7S).4d,8D,9/2,,109474.060,,0.013,10.39,,  96                                  :     3  3d5.4s.(7S).4d          6D    ,"L18349,L18361c138"
3d5.4s.(7S).4d,8D,11/2,,109486.551,,0.008,12.49,, 100                                                                         ,"L18349,L18361c138"
3d6.(3P2).5p,4P*,1/2,,109529.028,,0.004,42.477,,  41  3d6.(3P2).5p 4P*                :    27  3d6.(3P1).5p            4P*   ,L18349c137
3d6.(3P2).5p,4D*,7/2,,109550.081,,0.004,21.053,,  43  3d6.(3P2).5p 4D*                :    27  3d6.(3P1).5p            4D*   ,L18349c137
3d5.(2G2).4s.4p.(3P*),4H*,7/2,,109571.639,,0.004,21.558,,  37  3d5.(2H).4s.(3H).4p 4H*         :    35  3d5.(2G2).4s.(3G).4p    4H*   ,L18349c137
3d6.(3H).5p,4I*,15/2,,109591.643,,0.004,20.004,,  99  3d6.(3H).5p 4I*                                                        ,L18349c137
3d6.(3D).5s,2D,3/2,,109601.572,,0.005,9.929,,  98                                                                         ,"L18349,L18361c138"
3d6.(3H).5p,4I*,13/2,,109619.704,,0.004,18.132,,  66  3d6.(3H).5p 4I*                 :    24  3d6.(3H).5p             2I*   ,L18349c137
3d6.(3G).4d,2G,9/2,,109625.216,,0.004,5.512,,  49                                  :    33  3d6.(3G).4d             2H    ,"L18349,L18361c138"
3d6.(3D).5s,2D,5/2,,109652.241,,0.005,27.025,,  96                                  :     2  3d6.(3G).4d             2D    ,"L18349,L18361c138"
3d6.(3G).4d,2H,11/2,,109683.303,,0.004,31.062,,  75                                  :    12  3d6.(1I).4d             2H    ,"L18349,L18361c138"
3d6.(3H).5p,4I*,11/2,,109762.239,,0.004,78.936,,  82  3d6.(3H).5p 4I*                 :     6  3d6.(3H).5p             2I*   ,L18349c137
3d5.(2G2).4s.4p.(3P*),4H*,11/2,,109794.406,,0.004,32.167,,  15  3d5.(2G2).4s.(3G).4p 4H*        :    14  3d5.(2H).4s.(3H).4p     4H*   ,L18349c137
3d6.(3G).4d,4F,9/2,,109811.940,,0.004,17.534,,                                                                             ,L18349
3d5.(2H).4s.4p.(3P*),4G*,9/2,,109849.987,,0.004,38.047,,  21  3d6.(3H).5p 4I*                 :    19  3d6.(3H).5p             4G*   ,L18349c137
