Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(5D<4>).5g,2[5],11/2,,113044.477,,0.005,3.789,,                                                                             ,L18349
3d6.(5D<4>).5g,2[5],9/2,,113044.557,,0.005,0.080,,                                                                             ,L18349
3d6.(5D<4>).5g,2[7],15/2,,113051.461,,0.005,6.904,,                                                                             ,L18349
3d6.(5D<4>).5g,2[7],13/2,,113051.600,,0.005,0.139,,                                                                             ,L18349
3d6.(5D<4>).5g,2[4],9/2,,113056.724,,0.005,5.124,,                                                                             ,L18349
3d6.(5D<4>).5g,2[4],7/2,,113056.847,,0.005,0.123,,                                                                             ,L18349
3d6.(5D<4>).5g,2[3],7/2,,113072.987,,0.005,16.140,,                                                                             ,L18349
3d6.(5D<4>).5g,2[3],5/2,,113073.175,,0.005,0.188,,                                                                             ,L18349
3d6.(5D<4>).5g,2[2],5/2,,113089.408,,0.005,16.233,,                                                                             ,L18349
3d6.(5D<4>).5g,2[2],3/2,,113089.554,,0.005,0.146,,                                                                             ,L18349
3d6.(5D<4>).5g,2[8],15/2,,113089.937,,0.005,0.383,,                                                                             ,L18349
3d6.(5D<4>).5g,2[8],17/2,,113090.048,,0.005,0.111,,                                                                             ,L18349
3d6.(5D<4>).5g,2[1],3/2,,113102.894,,0.005,12.846,,                                                                             ,L18349
3d6.(5D<4>).5g,2[1],1/2,,113103.009,,0.005,0.115,,                                                                             ,L18349
3d6.(5D<4>).5g,2[0],1/2,,113110.519,,0.005,7.510,,                                                                             ,L18349
3d6.(5D).7s,6D,3/2,,113230.351,,0.004,119.832,,                                                                             ,L18349
3d6.(5D).7s,4D,5/2,,113236.296,,0.004,5.945,,                                                                             ,L18349
3d6.(5D<3>).5f,2[4]*,7/2,,113337.042,,0.005,100.746,,  56  3d6.(5D<3>).5f 2[4]*            :     6  3d5.(4F).4s.(3F<4>).4p  2[3]* ,L18349c137
3d6.(5D<3>).5f,2[3]*,5/2,,113344.585,,0.005,7.543,,  89  3d6.(5D<3>).5f 2[3]*                                                   ,L18349c137
3d6.(5D<3>).5f,2[4]*,9/2,,113345.643,,0.005,1.058,,  70  3d6.(5D<3>).5f 2[4]*            :    28  3d6.(5D<3>).5f          2[5]* ,L18349c137
3d6.(5D<3>).5f,2[5]*,11/2,,113354.632,,0.005,8.989,,  96  3d6.(5D<3>).5f 2[5]*                                                   ,L18349c137
3d6.(5D<3>).5f,2[2]*,3/2,,113363.028,,0.005,8.396,,  93  3d6.(5D<3>).5f 2[2]*                                                   ,L18349c137
3d6.(5D).7s,6D,1/2,,113370.112,,0.005,7.084,,                                                                             ,L18349
3d6.(5D<3>).5f,2[3]*,7/2,,113374.128,,0.005,4.016,,  82  3d6.(5D<3>).5f 2[3]*                                                   ,L18349c137
3d6.(5D<3>).5f,2[2]*,5/2,,113377.340,,0.005,3.212,,  86  3d6.(5D<3>).5f 2[2]*            :     6  3d5.(2F1).4s.(1F<3>).4p 2[3]* ,L18349c137
3d6.(5D<3>).5f,2[5]*,9/2,,113386.658,,0.005,9.318,,  66  3d6.(5D<3>).5f 2[5]*            :    27  3d6.(5D<3>).5f          2[4]* ,L18349c137
3d6.(5D<3>).5f,2[6]*,13/2,,113388.197,,0.005,1.539,,  98  3d6.(5D<3>).5f 2[6]*                                                   ,L18349c137
3d6.(5D<3>).5f,2[6]*,11/2,,113417.614,,0.005,29.417,,  93  3d6.(5D<3>).5f 2[6]*                                                   ,L18349c137
3d6.(5D).7s,4D,3/2,,113481.304,,0.005,63.690,,                                                                             ,L18349
3d6.(5D<3>).5g,2[5],11/2,,113493.072,,0.005,11.768,,                                                                             ,L18349
3d6.(5D<3>).5g,2[5],9/2,,113493.197,,0.005,0.125,,                                                                             ,L18349
3d6.(5D<3>).5g,2[6],13/2,,113495.605,,0.005,2.408,,                                                                             ,L18349
3d6.(5D<3>).5g,2[6],11/2,,113495.637,,0.005,0.032,,                                                                             ,L18349
3d6.(5D<3>).5g,2[4],9/2,,113495.846,,0.005,0.209,,                                                                             ,L18349
3d6.(5D<3>).5g,2[4],7/2,,113496.028,,0.005,0.182,,                                                                             ,L18349
3d6.(5D<3>).5g,2[3],7/2,,113501.226,,0.005,5.198,,                                                                             ,L18349
3d6.(5D<3>).5g,2[3],5/2,,113501.423,,0.005,0.197,,                                                                             ,L18349
3d6.(5D<3>).5g,2[2],5/2,,113507.309,,0.005,5.886,,                                                                             ,L18349
3d6.(5D<3>).5g,2[2],3/2,,113507.710,,0.005,0.401,,                                                                             ,L18349
3d6.(5D<3>).5g,2[7],13/2,,113509.161,,0.005,1.451,,                                                                             ,L18349
3d6.(5D<3>).5g,2[7],15/2,,113509.167,,0.005,0.006,,                                                                             ,L18349
3d6.(5D<3>).5g,2[1],3/2,,113512.379,,0.005,3.212,,                                                                             ,L18349
3d6.(5D<3>).5g,2[1],1/2,,113512.697,,0.005,0.318,,                                                                             ,L18349
3d6.(5D).6d,6F,11/2,,113528.091,,0.005,15.394,,                                                                             ,L18349
3d6.(5D).6d,6F,9/2,,113557.048,,0.005,28.957,,                                                                             ,L18349
3d6.(5D).7s,4D,1/2,,113625.745,,0.005,68.697,,                                                                             ,L18349
3d6.(5D<2>).5f,2[2]*,3/2,,113636.931,,0.005,11.186,,  44  3d6.(5D<2>).5f 2[2]*            :    32  3d6.(5D<2>).5f          2[1]* ,L18349c137
3d6.(5D<2>).5f,2[2]*,5/2,,113674.493,,0.005,37.562,,  28  3d6.(5D<2>).5f 2[2]*            :    20  3d6.(5D<2>).5f          2[3]* ,L18349c137
3d6.(5D<2>).5f,2[5]*,11/2,,113678.307,,0.005,3.814,,  96  3d6.(5D<2>).5f 2[5]*                                                   ,L18349c137
3d6.(5D<2>).5f,2[4]*,7/2,,113680.079,,0.005,1.772,,  50  3d6.(5D<2>).5f 2[4]*            :    36  3d6.(5D<2>).5f          2[3]* ,L18349c137
3d6.(5D<2>).5f,2[1]*,3/2,,113682.648,,0.005,2.569,,  55  3d6.(5D<2>).5f 2[1]*            :    40  3d6.(5D<2>).5f          2[2]* ,L18349c137
3d6.(5D<2>).5f,2[4]*,9/2,,113692.411,,0.005,9.763,,  53  3d6.(5D<2>).5f 2[4]*            :    28  3d6.(5D<2>).5f          2[5]* ,L18349c137
3d6.(5D).6d,113716,7/2,,113716.636,,0.005,24.225,,                                                                             ,L18349
3d6.(5D).6d,6G,13/2,,113729.889,,0.005,13.253,,                                                                             ,L18349
3d6.(5D).6d,6F,7/2,,113753.876,,0.005,23.987,,                                                                             ,L18349
3d6.(5D<2>).5f,2[3]*,5/2,,113766.072,,0.005,12.196,,  69  3d6.(5D<2>).5f 2[3]*            :    20  3d6.(5D<2>).5f          2[2]* ,L18349c137
3d6.(5D<2>).5g,2[2],5/2,,113795.305,,0.005,29.233,,                                                                             ,L18349
3d6.(5D<2>).5g,2[2],3/2,,113795.307,,0.005,0.002,,                                                                             ,L18349
3d6.(5D<2>).5g,2[6],13/2,,113801.182,,0.005,5.875,,                                                                             ,L18349
3d6.(5D<2>).5g,2[6],11/2,,113801.203,,0.005,0.021,,                                                                             ,L18349
3d6.(5D<2>).5g,2[3],7/2,,113801.671,,0.005,0.468,,                                                                             ,L18349
3d6.(5D<2>).5g,2[3],5/2,,113801.798,,0.005,0.127,,                                                                             ,L18349
3d6.(5D<2>).5g,2[4],9/2,,113807.203,,0.005,5.405,,                                                                             ,L18349
3d6.(5D<2>).5g,2[4],7/2,,113807.477,,0.005,0.274,,                                                                             ,L18349
3d6.(5D<2>).5g,2[5],11/2,,113809.477,,0.005,2.000,,                                                                             ,L18349
3d6.(5D<2>).5g,2[5],9/2,,113809.527,,0.005,0.050,,                                                                             ,L18349
3d6.(3D).4d,4P,3/2,,113822.902,,0.005,13.375,,                                                                             ,L18349
3d6.(5D<1>).5f,2[2]*,3/2,,113858.233,,0.005,35.331,,  65  3d6.(5D<1>).5f 2[2]*            :     9  3d5.(2F1).4s.(1F<3>).4p 2[2]* ,L18349c137
3d6.(5D).6d,6G,11/2,,113867.242,,0.005,9.009,,                                                                             ,L18349
3d6.(5D<1>).5f,2[4]*,7/2,,113871.144,,0.005,3.902,,  75  3d6.(5D<1>).5f 2[4]*            :     5  3d6.(5D<1>).5f          2[3]* ,L18349c137
3d6.(5D<1>).5f,2[4]*,9/2,,113872.758,,0.005,1.614,,  92  3d6.(5D<1>).5f 2[4]*                                                   ,L18349c137
3d6.(5D).6d,6D,5/2,,113934.512,,0.005,61.754,,                                                                             ,L18349
3d6.(5D).6d,6D,9/2,,113956.532,,0.005,22.020,,                                                                             ,L18349
3d6.(5D<1>).5g,2[3],7/2,,113982.872,,0.005,26.340,,                                                                             ,L18349
3d6.(5D<1>).5g,2[3],5/2,,113982.895,,0.005,0.023,,                                                                             ,L18349
3d6.(5D<0>).5f,2[3]*,7/2,,113987.102,,0.005,4.207,,  86  3d6.(5D<0>).5f 2[3]*                                                   ,L18349c137
3d6.(5D<1>).5g,2[5],11/2,,113991.394,,0.005,4.292,,                                                                             ,L18349
3d6.(5D<1>).5g,2[5],9/2,,113991.403,,0.005,0.009,,                                                                             ,L18349
3d6.(5D).6d,4D,7/2,,114009.908,,0.005,18.505,,                                                                             ,L18349
3d6.(5D<1>).5g,2[4],9/2,,114021.102,,0.005,11.194,,                                                                             ,L18349
3d6.(5D<1>).5g,2[4],7/2,,114021.585,,0.005,0.483,,                                                                             ,L18349
3d6.(5D).6d,114094,5/2,,114094.244,,0.005,72.659,,                                                                             ,L18349
3d6.(5D<0>).5g,2[4],9/2,,114094.688,,0.005,0.444,,                                                                             ,L18349
3d6.(5D<0>).5g,2[4],7/2,,114094.868,,0.005,0.180,,                                                                             ,L18349
3d6.(3G).5p,4H*,11/2,,114101.892,,0.005,7.024,,  49  3d6.(3G).5p 4H*                 :    41  3d6.(3G).5p             2H*   ,L18349c137
3d6.(3G).5p,4H*,13/2,,114104.465,,0.005,2.573,,  88  3d6.(3G).5p 4H*                 :     5  3d5.(2G2).4s.(3G).4p    4H*   ,L18349c137
3d6.(5D).6d,4G,11/2,,114157.716,,0.005,53.251,,                                                                             ,L18349
3d6.(5D).6d,4F,9/2,,114160.174,,0.005,2.458,,                                                                             ,L18349
3d6.(5D).6d,6D,7/2,,114173.223,,0.005,13.049,,                                                                             ,L18349
3d6.(5D).6d,114212,7/2,,114212.377,,0.005,39.154,,                                                                             ,L18349
3d6.(5D).6d,114242,5/2,,114242.513,,0.005,30.136,,                                                                             ,L18349
3d6.(5D).6d,6G,9/2,,114290.252,,0.005,47.739,,                                                                             ,L18349
3d6.(5D).6d,6F,5/2,,114307.099,,0.005,16.847,,                                                                             ,L18349
3d6.(5D).6d,114333,7/2,,114333.701,,0.005,26.602,,                                                                             ,L18349
3d6.(5D).6d,114352,5/2,,114352.875,,0.005,19.174,,                                                                             ,L18349
3d6.(5D).6d,114393,3/2,,114393.845,,0.005,40.970,,                                                                             ,L18349
3d6.(5D).6d,114395,7/2,,114395.468,,0.005,1.623,,                                                                             ,L18349
3d6.(5D).6d,114399,3/2,,114399.170,,0.005,3.702,,                                                                             ,L18349
3d6.(5D).6d,114428,7/2,,114428.410,,0.005,29.240,,                                                                             ,L18349
3d6.(5D).6d,114464,3/2,,114464.872,,0.005,36.462,,                                                                             ,L18349
3d6.(5D).6d,114470,5/2,,114470.803,,0.005,5.931,,                                                                             ,L18349
3d6.(5D).6d,114475,5/2,,114475.826,,0.005,5.023,,                                                                             ,L18349
3d6.(5D).6d,4G,9/2,,114482.464,,0.005,6.638,,                                                                             ,L18349
3d6.(3G).5p,2H*,11/2,,114515.453,,0.005,32.989,,  50  3d6.(3G).5p 2H*                 :    29  3d6.(3G).5p             4H*   ,L18349c137
3d6.(3G).5p,4H*,7/2,,114565.532,,0.005,50.079,,  57  3d6.(3G).5p 4H*                 :     9  3d5.(2H).4s.(3H).4p     4H*   ,L18349c137
3d6.(5D).6d,114584,5/2,,114584.409,,0.005,18.877,,                                                                             ,L18349
3d6.(5D).6d,114596,3/2,,114596.462,,0.005,12.053,,                                                                             ,L18349
3d6.(5D).6d,4G,7/2,,114646.097,,0.005,49.635,,                                                                             ,L18349
3d6.(5D).6d,114673,1/2,,114673.754,,0.005,27.657,,                                                                             ,L18349
3d6.(3G).5p,2H*,9/2,,114770.394,,0.005,96.640,,  69  3d6.(3G).5p 2H*                 :     7  3d6.(3G).5p             2G*   ,L18349c137
3d6.(5D).6d,4G,5/2,,114806.568,,0.005,36.174,,                                                                             ,L18349
3d6.(3G).5p,4G*,11/2,,114870.874,,0.005,64.306,,  44  3d6.(3G).5p 4G*                 :    14  3d5.(2G2).4s.(3G).4p    4G*   ,L18349c137
3d6.(3G).5p,2G*,9/2,,114877.996,,0.005,7.122,,  69  3d6.(3G).5p 2G*                 :     7  3d6.(3G).5p             2H*   ,L18349c137
3d6.(5D).6d,6P,7/2,,114980.083,,0.005,102.087,,                                                                             ,L18349
3d6.(5D).6d,6P,3/2,,115009.864,,0.005,29.781,,                                                                             ,L18349
3d6.(3D).4d,4F,9/2,,115030.664,,0.005,20.800,,                                                                             ,L18349
3d6.(5D).6d,6P,5/2,,115047.887,,0.005,17.223,,                                                                             ,L18349
3d5.4s.(5S).5s,6S,5/2,,115367.230,,0.005,319.343,,                                                                             ,L18349
3d5.4s.(5S).5s,4S,3/2,,115545.861,,0.005,178.631,,                                                                             ,L18349
3d5.4s.(5S).4d,6D,1/2,,116333.201,,0.008,787.340,,                                                                             ,L18349
3d5.4s.(5S).4d,6D,9/2,,116334.944,,0.005,1.743,,                                                                             ,L18349
3d5.4s.(5S).4d,6D,3/2,,116335.731,,0.006,0.787,,                                                                             ,L18349
3d5.4s.(5S).4d,6D,5/2,,116338.649,,0.005,2.918,,                                                                             ,L18349
3d5.4s.(5S).4d,6D,7/2,,116342.274,,0.006,3.625,,                                                                             ,L18349
3d5.4p2,4P,5/2,,118097.578,,0.005,1755.304,,                                                                             ,L18349
3d5.4p2,4P,3/2,,118277.347,,0.005,179.769,,                                                                             ,L18349
3d6.(5D<4>).6h,2[7]*,13/2,,118448.293,,0.005,170.946,,  97  3d6.(5D<4>).6h 2[7]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[7]*,15/2,,118448.303,,0.005,0.010,, 100  3d6.(5D<4>).6h 2[7]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[6]*,11/2,,118448.484,,0.005,0.181,, 100  3d6.(5D<4>).6h 2[6]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[6]*,13/2,,118448.489,,0.005,0.005,,  97  3d6.(5D<4>).6h 2[6]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[5]*,9/2,,118451.591,,0.005,3.102,, 100  3d6.(5D<4>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[5]*,11/2,,118451.591,,0.005,0.000,, 100  3d6.(5D<4>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[8]*,15/2,,118452.687,,0.005,1.096,, 100  3d6.(5D<4>).6h 2[8]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[8]*,17/2,,118452.702,,0.005,0.015,, 100  3d6.(5D<4>).6h 2[8]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[4]*,9/2,,118456.318,,0.005,3.616,, 100  3d6.(5D<4>).6h 2[4]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[4]*,7/2,,118456.319,,0.005,0.001,, 100  3d6.(5D<4>).6h 2[4]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[3]*,7/2,,118461.560,,0.005,5.241,, 100  3d6.(5D<4>).6h 2[3]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[3]*,5/2,,118461.566,,0.005,0.006,, 100  3d6.(5D<4>).6h 2[3]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[9]*,17/2,,118464.102,,0.005,2.536,, 100  3d6.(5D<4>).6h 2[9]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[9]*,19/2,,118464.124,,0.005,0.022,, 100  3d6.(5D<4>).6h 2[9]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[2]*,3/2,,118466.421,,0.005,2.297,, 100  3d6.(5D<4>).6h 2[2]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[2]*,5/2,,118466.429,,0.005,0.008,, 100  3d6.(5D<4>).6h 2[2]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[1]*,1/2,,118470.124,,0.006,3.695,, 100  3d6.(5D<4>).6h 2[1]*                                                   ,L18349c137
3d6.(5D<4>).6h,2[1]*,3/2,,118470.134,,0.005,0.010,, 100  3d6.(5D<4>).6h 2[1]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[6]*,11/2,,118889.550,,0.005,419.416,, 100  3d6.(5D<3>).6h 2[6]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[6]*,13/2,,118889.562,,0.005,0.012,, 100  3d6.(5D<3>).6h 2[6]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[5]*,9/2,,118890.203,,0.005,0.641,, 100  3d6.(5D<3>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[5]*,11/2,,118890.208,,0.005,0.005,, 100  3d6.(5D<3>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[7]*,13/2,,118890.596,,0.005,0.388,, 100  3d6.(5D<3>).6h 2[7]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[7]*,15/2,,118890.610,,0.005,0.014,, 100  3d6.(5D<3>).6h 2[7]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[4]*,7/2,,118891.802,,0.005,1.192,, 100  3d6.(5D<3>).6h 2[4]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[4]*,9/2,,118891.809,,0.005,0.007,, 100  3d6.(5D<3>).6h 2[4]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[3]*,5/2,,118893.733,,0.005,1.924,, 100  3d6.(5D<3>).6h 2[3]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[3]*,7/2,,118893.735,,0.005,0.002,, 100  3d6.(5D<3>).6h 2[3]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[8]*,15/2,,118894.16,,0.02,0.43,, 100  3d6.(5D<3>).6h 2[8]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[8]*,17/2,,118894.16,,0.02,0.00,, 100  3d6.(5D<3>).6h 2[8]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[2]*,5/2,,118895.519,,0.005,1.36,, 100  3d6.(5D<3>).6h 2[2]*                                                   ,L18349c137
3d6.(5D<3>).6h,2[2]*,3/2,,118895.530,,0.005,0.011,, 100  3d6.(5D<3>).6h 2[2]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[3]*,7/2,,119191.728,,0.005,296.198,, 100  3d6.(5D<2>).6h 2[3]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[3]*,5/2,,119191.735,,0.005,0.007,, 100  3d6.(5D<2>).6h 2[3]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[7]*,15/2,,119193.03,,0.02,1.29,, 100  3d6.(5D<2>).6h 2[7]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[7]*,13/2,,119193.05,,0.02,0.02,, 100  3d6.(5D<2>).6h 2[7]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[4]*,7/2,,119194.513,,0.005,1.46,, 100  3d6.(5D<2>).6h 2[4]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[4]*,9/2,,119194.519,,0.005,0.006,, 100  3d6.(5D<2>).6h 2[4]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[5]*,9/2,,119196.443,,0.005,1.924,, 100  3d6.(5D<2>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[5]*,11/2,,119196.445,,0.005,0.002,,  98  3d6.(5D<2>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[6]*,11/2,,119196.455,,0.005,0.010,,  98  3d6.(5D<2>).6h 2[6]*                                                   ,L18349c137
3d6.(5D<2>).6h,2[6]*,13/2,,119196.463,,0.005,0.008,, 100  3d6.(5D<2>).6h 2[6]*                                                   ,L18349c137
3d6.(5D<1>).6h,2[4]*,7/2,,119379.372,,0.007,182.909,, 100  3d6.(5D<1>).6h 2[4]*                                                   ,L18349c137
3d6.(5D<1>).6h,2[4]*,9/2,,119379.445,,0.005,0.073,, 100  3d6.(5D<1>).6h 2[4]*                                                   ,L18349c137
3d6.(5D<1>).6h,2[6]*,13/2,,119385.52,,0.02,6.07,, 100  3d6.(5D<1>).6h 2[6]*                                                   ,L18349c137
3d6.(5D<1>).6h,2[6]*,11/2,,119385.53,,0.02,0.01,, 100  3d6.(5D<1>).6h 2[6]*                                                   ,L18349c137
3d6.(5D<1>).6h,2[5]*,9/2,,119395.874,,0.005,10.34,, 100  3d6.(5D<1>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<1>).6h,2[5]*,11/2,,119395.889,,0.005,0.015,, 100  3d6.(5D<1>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<0>).6h,2[5]*,9/2,,119483.129,,0.005,87.240,, 100  3d6.(5D<0>).6h 2[5]*                                                   ,L18349c137
3d6.(5D<0>).6h,2[5]*,11/2,,119483.146,,0.005,0.017,, 100  3d6.(5D<0>).6h 2[5]*                                                   ,L18349c137
3d6.(3H).6s,4H,13/2,,121863.975,,0.005,2380.829,,                                                                             ,L18349
3d6.(3H).6s,4H,9/2,,122166.779,,0.005,302.804,,                                                                             ,L18349
3d6.(3H).6s,4H,7/2,,122297.664,,0.005,130.885,,                                                                             ,L18349
3d6.(3H).6s,2H,11/2,,122315.037,,0.005,17.373,,                                                                             ,L18349
3d6.(3P2<2>).4f,2[4]*,9/2,,122355.101,,0.005,40.064,,  58                                  :    37  3d6.(3P1<2>).4f         2[4]* ,L18349
3d6.(3P2<2>).4f,2[3]*,7/2,,122355.608,,0.005,0.507,,  52                                  :    33  3d6.(3P1<2>).4f         2[3]* ,L18349
3d6.(3H).6s,2H,9/2,,122573.335,,0.005,217.727,,                                                                             ,L18349
3d6.(3H<6>).4f,2[8]*,15/2,,122910.924,,0.005,337.589,,  70  3d6.(3H<6>).4f 2[8]*            :     9  3d5.(2I).4s.(3I<7>).4p  2[8]* ,L18349c137
3d6.(3H<6>).4f,2[3]*,7/2,,122946.458,,0.005,35.534,,  97  3d6.(3H<6>).4f 2[3]*                                                   ,L18349c137
3d6.(3H<6>).4f,2[9]*,17/2,,122952.738,,0.005,6.280,, 100  3d6.(3H<6>).4f 2[9]*                                                   ,L18349c137
3d6.(3H<6>).4f,2[9]*,19/2,,122954.144,,0.005,1.406,, 100  3d6.(3H<6>).4f 2[9]*                                                   ,L18349c137
3d6.(3H<6>).4f,2[4]*,9/2,,122988.195,,0.006,34.051,,  94  3d6.(3H<6>).4f 2[4]*                                                   ,L18349c137
3d6.(3H<6>).4f,2[7]*,13/2,,122990.633,,0.006,2.438,,  44  3d6.(3H<6>).4f 2[7]*            :    13  3d6.(3H<5>).4f          2[7]* ,L18349c137
3d6.(3H<6>).4f,2[5]*,11/2,,123002.306,,0.005,11.673,,  84  3d6.(3H<6>).4f 2[5]*            :    15  3d6.(3H<6>).4f          2[6]* ,L18349c137
3d6.(3H<6>).4f,2[8]*,17/2,,123007.901,,0.005,5.595,,  97  3d6.(3H<6>).4f 2[8]*                                                   ,L18349c137
3d6.(3H<6>).4f,2[6]*,13/2,,123015.399,,0.005,7.498,,  93  3d6.(3H<6>).4f 2[6]*            :     6  3d6.(3H<6>).4f          2[7]* ,L18349c137
3d6.(3H<6>).4f,2[7]*,15/2,,123018.433,,0.005,3.034,,  95  3d6.(3H<6>).4f 2[7]*                                                   ,L18349c137
3d6.(3H<6>).4f,2[5]*,9/2,,123026.355,,0.005,7.922,,  94  3d6.(3H<6>).4f 2[5]*                                                   ,L18349c137
3d6.(3H<6>).4f,2[6]*,11/2,,123037.483,,0.007,11.128,,  83  3d6.(3H<6>).4f 2[6]*            :    14  3d6.(3H<6>).4f          2[5]* ,L18349c137
3d6.(3H<5>).4f,2[7]*,13/2,,123168.704,,0.006,131.221,,  46  3d6.(3H<6>).4f 2[7]*            :    23  3d6.(3H<5>).4f          2[7]* ,L18349c137
3d6.(3H<5>).4f,2[8]*,15/2,,123193.101,,0.005,24.397,,  67  3d6.(3H<5>).4f 2[8]*            :    19  3d6.(3H<5>).4f          2[7]* ,L18349c137
3d6.(3H<5>).4f,2[8]*,17/2,,123219.252,,0.005,26.151,,  96  3d6.(3H<5>).4f 2[8]*                                                   ,L18349c137
3d6.(3H<5>).4f,2[7]*,15/2,,123238.446,,0.005,19.194,,  66  3d6.(3H<5>).4f 2[7]*            :    27  3d6.(3H<5>).4f          2[8]* ,L18349c137
3d6.(3H<5>).4f,2[6]*,13/2,,123249.656,,0.006,11.210,,  65  3d6.(3H<5>).4f 2[6]*            :    30  3d6.(3H<5>).4f          2[7]* ,L18349c137
3d6.(3H<5>).4f,2[6]*,11/2,,123251.479,,0.007,1.823,,  67  3d6.(3H<5>).4f 2[6]*            :    28  3d6.(3H<5>).4f          2[5]* ,L18349c137
3d6.(3H<5>).4f,2[5]*,11/2,,123270.356,,0.006,18.877,,  68  3d6.(3H<5>).4f 2[5]*            :    29  3d6.(3H<5>).4f          2[6]* ,L18349c137
3d6.(3H<4>).4f,2[6]*,13/2,,123355.521,,0.005,85.165,,  34  3d6.(3H<4>).4f 2[7]*            :    24  3d6.(3H<4>).4f          2[6]* ,L18349c137
3d6.(3H<4>).4f,2[7]*,15/2,,123396.256,,0.005,40.735,,  94  3d6.(3H<4>).4f 2[7]*                                                   ,L18349c137
3d6.(3H<4>).4f,2[7]*,13/2,,123414.735,,0.005,18.479,,  56  3d6.(3H<4>).4f 2[7]*            :    32  3d6.(3H<4>).4f          2[6]* ,L18349c137
3d6.(3H<4>).4f,2[5]*,11/2,,123427.132,,0.007,12.397,,  71  3d6.(3H<4>).4f 2[5]*            :    22  3d6.(3H<4>).4f          2[6]* ,L18349c137
3d6.(3H<4>).4f,2[3]*,5/2,,123430.204,,0.006,3.072,,  71  3d6.(3H<4>).4f 2[3]*            :    19  3d6.(3H<4>).4f          2[2]* ,L18349c137
3d6.(3H<4>).4f,2[4]*,7/2,,123435.246,,0.005,5.042,,  93  3d6.(3H<4>).4f 2[4]*                                                   ,L18349c137
3d6.(3H<4>).4f,2[5]*,9/2,,123435.460,,0.006,0.214,,  94  3d6.(3H<4>).4f 2[5]*                                                   ,L18349c137
3d6.(3H<4>).4f,2[6]*,11/2,,123441.099,,0.005,5.639,,  74  3d6.(3H<4>).4f 2[6]*            :    23  3d6.(3H<4>).4f          2[5]* ,L18349c137
3d6.(3H<4>).4f,2[4]*,9/2,,123460.713,,0.008,19.614,,  93  3d6.(3H<4>).4f 2[4]*                                                   ,L18349c137
3d6.(3P2<1>).4f,2[4]*,9/2,,123629.564,,0.005,168.851,,  61                                  :    38  3d6.(3P1<1>).4f         2[4]* ,L18349
3d6.(3H).5d,4H,13/2,,124208.730,,0.005,579.166,,                                                                             ,L18349
3d6.(3H).5d,4K,15/2,,124297.238,,0.016,88.51,,                                                                             ,L18349
3d6.(3F2<4>).4f,2[6]*,13/2,,124400.143,,0.006,102.90,,  52  3d6.(3F2<4>).4f 2[6]*           :    22  3d6.(3F2<4>).4f         2[7]* ,L18349c137
3d6.(3F2<4>).4f,2[7]*,15/2,,124421.522,,0.005,21.379,,  75  3d6.(3F2<4>).4f 2[7]*           :    21  3d6.(3F1<4>).4f         2[7]* ,L18349c137
