Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Leading percentages,Reference
3d9.4s.(3D).5s,2D,5/2,,164998.9,,,929,  88                                            ,
3d9.4s.(3D).5s,2D,3/2,,165277.1,,,278,  46                                            ,
3d9.4s.(1D).5s,2D,5/2,,167624.4,,,2347,  92                                            ,
3d9.4s.4d,1,7/2,,169150.5,,,1526,                                                ,
3d9.4s.4d,3,5/2,,169447.7,,,297,                                                ,
3d9.4s.4d,4,5/2,,169986.3,,,539,                                                ,
3d9.4s.4d,5,1/2,,171110.5,,,1124,                                                ,
3d9.4s.4d,6,5/2,,171171.6,,,61,                                                ,
3d9.4s.4d,7,7/2,,171643.0,,,471,                                                ,
3d9.4s.4d,8,3/2,,171827.6,,,185,                                                ,
3d9.4s.4d,9,5/2,,172165.7,,,338,                                                ,
3d9.4s.4d,11,5/2,,172341.5,,,176,                                                ,
3d9.4s.4d,12,7/2,,173003.1,,,662,                                                ,
3d9.4s.4d,13,5/2,,173035.3,,,32,                                                ,
3d9.4s.4d,14,5/2,,173339.8,,,304,                                                ,
3d9.4s.4d,20,5/2?,,173560.7,?,,221,                                                ,
3d9.4s.4d,21,9/2,,173561.9,,,1,                                                ,
3d9.4s.(3D).6s,4D,7/2,,191198.0,,,17636,                                                ,
3d9.4s.(3D).6s,2D,5/2,,192598,?,,1400,                                                ,
