# created_utc: 2025-08-11T14:20:48.160357Z
# generator: nist_lines_parser_v1
# ion: Zn_II
# raw_lines: data/raw/lines/Zn_II_lines_raw.csv
# raw_lines_sha256: bd9c5432b16170ddef44cbe4868ed4fbca0d6f0fd451375c03327b739f5466b8
# tidy_levels: data/tidy/levels/Zn_II_levels.csv
# tidy_levels_sha256: e4c9248ccd833974c589b02c3c4fc9c76da56dda8e7838db374cc2dab774cb6b
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
19,174.7125,vacuum,1715.9187694068828,7096.469823596119,,33.0,3.0,energy_only|energy_only,0.00010196285893471213,True,1.0,True,2P*,2D,3/2,5/2,odd,even,3d10.6p,3d9.4s2,174.7125,14.873062610493058,7.77659268493408
20,176.219,vacuum,1701.2493431468797,7035.80195129377,,72.0,11.0,energy_only|energy_only,0.0037458300694197533,True,1.0,True,4D,4P*,5/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),176.219,20.094156229947522,13.058350532823681
21,177.405,vacuum,1689.8760350610185,6988.765728446418,,73.0,12.0,energy_only|energy_only,0.000363804462722328,True,1.0,True,4D,4P*,3/2,1/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),177.405,20.196653966764803,13.207887874513922
22,179.076,vacuum,1674.1074069110323,6923.551922396284,,74.0,16.0,energy_only|energy_only,0.001518503802799387,True,1.0,True,4D,4F*,1/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),179.076,20.34209982990784,13.41854942601536
23,179.764,vacuum,1667.7001958122873,6897.053826433751,,73.0,15.0,energy_only|energy_only,0.011244159192756342,True,1.0,True,4D,4F*,3/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),179.764,20.196653966764803,13.299611384490243
24,181.101,vacuum,1655.3881977460092,6846.135493757832,,72.0,14.0,energy_only|energy_only,0.011575073526728374,True,1.0,True,4D,4F*,5/2,7/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),181.101,20.094156229947522,13.24800916111616
25,181.6479,vacuum,1650.4042050582473,6825.523356201954,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,181.6479,,
26,183.134,vacuum,1637.0114670132255,6770.135442108167,,76.0,17.0,energy_only|energy_only,0.0030853158450554474,True,1.0,True,2D,2F*,3/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),183.134,20.491748757376644,13.721616400584322
27,183.357,vacuum,1635.020522805238,6761.901558462655,,71.0,13.0,energy_only|energy_only,0.010645975746228942,True,1.0,True,4D,4F*,7/2,9/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),183.357,20.00093251117056,13.239020306732161
28,183.601,vacuum,1632.8476315488479,6752.91520228668,,71.0,14.0,energy_only|energy_only,0.008147767720402044,True,0.0,True,4D,4F*,7/2,7/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),183.601,20.00093251117056,13.24800916111616
29,183.6653,vacuum,1632.275982452864,6750.551051586973,,32.0,4.0,energy_only|energy_only,0.0004807520335816662,True,1.0,True,2P*,2D,1/2,3/2,odd,even,3d10.6p,3d9.4s2,183.6653,14.864280809720384,8.113729277381378
30,184.757,vacuum,1622.6311208776933,6710.663109138148,,77.0,24.0,energy_only|energy_only,0.006426101533179462,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d9.4s.(1D).5s,3d9.(2D).4s.4p.(3P*),184.757,20.78277686628096,14.07210733104128
31,186.4117,vacuum,1608.2276917167753,6651.095312445715,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,186.4117,,
32,186.6077,vacuum,1606.5385190428906,6644.109455585363,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,186.6077,,
33,187.2128,vacuum,1601.3459442944072,6622.634691938996,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,187.2128,,
34,189.428,vacuum,1582.6195599383407,6545.188589094732,,77.0,27.0,energy_only|energy_only,0.006962669451240799,True,0.0,True,2D,2D*,5/2,5/2,even,odd,3d9.4s.(1D).5s,3d9.(2D).4s.4p.(3P*),189.428,20.78277686628096,14.23759523985568
35,190.153,vacuum,1576.585475906244,6520.23362268824,,75.0,21.0,energy_only|energy_only,0.003816190961515531,True,1.0,True,2D,2F*,5/2,7/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),190.153,20.457256353381762,13.93702654688448
36,191.48,vacuum,1565.659379569668,6475.046919025678,,73.0,17.0,energy_only|energy_only,0.009352845197099668,True,1.0,True,4D,2F*,3/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),191.48,20.196653966764803,13.721616400584322
37,191.8962,vacuum,1562.2636508695848,6461.003313536365,,27.0,3.0,energy_only|energy_only,0.0007586147639813134,True,0.0,True,2D*,2D,5/2,5/2,odd,even,3d9.(2D).4s.4p.(3P*),3d9.4s2,191.8962,14.23759523985568,7.77659268493408
38,192.028,vacuum,1561.1913783406587,6456.568750677177,,74.0,20.0,energy_only|energy_only,0.00756836154141638,True,1.0,True,4D,4D*,1/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),192.028,20.34209982990784,13.885523510869122
39,192.967,vacuum,1553.5944384272957,6425.1503316890285,,29.0,4.0,energy_only|energy_only,0.003432107196204015,True,1.0,True,2F*,2D,5/2,3/2,odd,even,3d10.4f,3d9.4s2,192.967,14.538883041177602,8.113729277381378
40,194.56,vacuum,1540.874064555921,6372.543092388142,,72.0,17.0,energy_only|energy_only,0.0032630249461362837,True,0.0,True,4D,2F*,5/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),194.56,20.094156229947522,13.721616400584322
41,195.19,vacuum,1535.9007018802192,6351.97491702975,,76.0,25.0,energy_only|energy_only,0.007785707058246771,True,0.0,True,2D,2D*,3/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),195.19,20.491748757376644,14.139781626053953
42,195.301,vacuum,1535.0277673949442,6348.364750078274,,72.0,18.0,energy_only|energy_only,0.010559016765000706,True,1.0,True,4D,4D*,5/2,7/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),195.301,20.094156229947522,13.74578092085248
43,195.488,vacuum,1533.5593898346704,6342.292028436717,,73.0,19.0,energy_only|energy_only,0.0043434831150079845,True,1.0,True,4D,4D*,3/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),195.488,20.196653966764803,13.8543662818112
44,196.453,vacuum,1526.0263676299164,6311.137951851267,,73.0,20.0,energy_only|energy_only,0.007495955585909542,True,0.0,True,4D,4D*,3/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),196.453,20.196653966764803,13.885523510869122
45,196.941,vacuum,1522.2450276986508,6295.499586449935,,24.0,3.0,energy_only|energy_only,0.01505965726573777,True,1.0,True,2P*,2D,3/2,5/2,odd,even,3d9.(2D).4s.4p.(3P*),3d9.4s2,196.941,14.07210733104128,7.77659268493408
46,198.211,vacuum,1512.4915267063884,6255.162347473333,,71.0,18.0,energy_only|energy_only,0.010757155252576922,True,0.0,True,4D,4D*,7/2,7/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),198.211,20.00093251117056,13.74578092085248
47,198.562,vacuum,1509.8178805612351,6244.105035480287,,73.0,22.0,energy_only|energy_only,0.0004372396442704485,True,1.0,True,4D,4D*,3/2,1/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),198.562,20.196653966764803,13.95254936852416
48,198.699,vacuum,1508.776883628,6239.799818091871,,72.0,19.0,energy_only|energy_only,0.0098699555528583,True,0.0,True,4D,4D*,5/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),198.699,20.094156229947522,13.8543662818112
49,199.342,vacuum,1503.9101544080022,6219.672643271547,,75.0,27.0,energy_only|energy_only,0.011529745469488262,True,0.0,True,2D,2D*,5/2,5/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),199.342,20.457256353381762,14.23759523985568
50,199.696,vacuum,1501.2441811553563,6208.647063812179,,72.0,20.0,energy_only|energy_only,0.01434473378230905,True,1.0,True,4D,4D*,5/2,3/2,even,odd,3d9.4s.(3D).5s,3d9.(2D).4s.4p.(3P*),199.696,20.094156229947522,13.885523510869122
51,201.259,vacuum,1489.585350220363,6160.4300133412025,,21.0,3.0,energy_only|energy_only,0.003848609198030317,True,1.0,True,2F*,2D,7/2,5/2,odd,even,3d9.(2D).4s.4p.(3P*),3d9.4s2,201.259,13.93702654688448,7.77659268493408
52,202.6136,vacuum,1479.6265304994336,6119.243644331067,,2.0,0.0,energy_only|energy_only,0.0014270688698161393,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d10.4p,3d10.4s,202.6136,6.119245071399937,0.0
53,203.996,vacuum,1469.599688229181,6077.775956661096,,19.0,3.0,energy_only|energy_only,0.002359783975407481,True,0.0,True,4D*,2D,5/2,5/2,odd,even,3d9.(2D).4s.4p.(3P*),3d9.4s2,203.996,13.8543662818112,7.77659268493408
54,206.2664,vacuum,1453.4236211035825,6010.87711840143,,1.0,0.0,energy_only|energy_only,0.0008042289700824767,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d10.4p,3d10.4s,206.2664,6.0108779226304,0.0
55,206.489,vacuum,1451.8567962458048,6004.397251451829,,6.0,1.0,energy_only|energy_only,0.001256970191207074,True,1.0,True,2D,2P*,3/2,1/2,even,odd,3d10.4d,3d10.4p,206.489,12.015276431052419,6.0108779226304
