# created_utc: 2025-08-09T20:27:22.153019Z
# generator: nist_lines_parser_v1
# ion: Cu_I
# raw_lines: data/raw/lines/Cu_I_lines_raw.csv
# raw_lines_sha256: 4c7a2d952e6309573cb06548d82a32a15a00e9c0721fef4c370dcd6590bcc32d
# tidy_levels: data/tidy/levels/Cu_I_levels.csv
# tidy_levels_sha256: 7b6f206c2da9115978c18f90c7cad21d8a50792b813a159312bed9075b6eb3de
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
19,117.114,vacuum,2559.8345031336985,10586.62486171625,,343,0,energy_only|energy_only,0.0014886447115713963,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).13p,3d10.4s,117.114,10.58662635036096,0.0
20,117.207,vacuum,2557.8033564548195,10578.22471401057,,342,0,energy_only|energy_only,0.004492301128266263,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d9.4s.(1D).8p?,3d10.4s,117.207,10.578220221709442,0.0
21,117.3579,vacuum,2554.514506479751,10564.62312341169,,341,0,energy_only|energy_only,0.003968266728406888,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).10f<5/2>,3d10.4s,117.3579,10.56461915514496,0.0
22,117.399,vacuum,2553.620201194218,10560.924573931949,,340,0,energy_only|energy_only,0.00014789930719416589,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).12p,3d10.4s,117.399,10.560924426032642,0.0
23,117.716,vacuum,2546.7435013082336,10532.484828358396,,338,0,energy_only|energy_only,0.002377438715484459,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).9f<5/2>,3d10.4s,117.716,10.53248245091968,0.0
24,117.77,vacuum,2545.5757663241916,10527.655464507405,,337,0,energy_only|energy_only,0.004001094514023862,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).11p,3d10.4s,117.77,10.527659465601921,0.0
25,117.8489,vacuum,2543.871499861263,10520.607184751296,,336,0,energy_only|energy_only,0.0024200383359129773,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).21p<3/2>,3d10.4s,117.8489,10.52060476471296,0.0
26,117.9001,vacuum,2542.7667830646456,10516.038443182295,,335,0,energy_only|energy_only,0.0037030295443400973,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).20p<3/2>,3d10.4s,117.9001,10.516042146211841,0.0
27,117.96,vacuum,2541.475567989149,10510.698406705975,,334,0,energy_only|energy_only,2.0554825823637657e-05,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).19p<3/2>,3d10.4s,117.96,10.5106984272608,0.0
28,118.025,vacuum,2540.0758991739035,10504.909841601666,,333,0,energy_only|energy_only,0.0014764061434107134,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).18p<3/2>,3d10.4s,118.025,10.504908365195522,0.0
29,118.1101,vacuum,2538.245738510085,10497.340905265823,,332,0,energy_only|energy_only,0.004423827298523975,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).17p<3/2>,3d10.4s,118.1101,10.497345329093122,0.0
30,118.197,vacuum,2536.379586622334,10489.62312118782,,331,0,energy_only|energy_only,0.0020076550190424314,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).16p<3/2>,3d10.4s,118.197,10.4896211135328,0.0
31,118.2211,vacuum,2535.8625321537356,10487.484755724965,,330,0,energy_only|energy_only,0.003829595354545745,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).8f<5/2>,3d10.4s,118.2211,10.487488585320321,0.0
32,118.297,vacuum,2534.235508930911,10480.755928341689,,329,0,energy_only|energy_only,0.00031500551085628103,True,0.0,True,*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).10p,3d10.4s,118.297,10.480756243347201,0.0
33,118.33,vacuum,2533.528758556579,10477.833043649427,,328,0,energy_only|energy_only,0.0028273844673094572,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).13f,3d10.4s,118.33,10.47783021626496,0.0
34,118.3489,vacuum,2533.124160849826,10476.159761983734,,327,0,energy_only|energy_only,0.003332397174744983,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).15p<3/2>,3d10.4s,118.3489,10.47615642958656,0.0
35,118.491,vacuum,2530.0863187921445,10463.59625672023,,326,0,energy_only|energy_only,0.0005735684117098572,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).12f,3d10.4s,118.491,10.463596830288642,0.0
36,118.516,vacuum,2529.552617368119,10461.389044981579,,325,0,energy_only|energy_only,0.0008665755431138678,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).14p<3/2>,3d10.4s,118.516,10.461389911557122,0.0
37,118.6949,vacuum,2525.7400107334015,10445.621370884823,,324,0,energy_only|energy_only,0.0022493641827168176,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).11f,3d10.4s,118.6949,10.445619121520641,0.0
38,118.7249,vacuum,2525.101794147647,10442.981919168065,,322,0,energy_only|energy_only,0.003661073344119359,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).13p<3/2>,3d10.4s,118.7249,10.44297825809472,0.0
39,118.862,vacuum,2522.18924467029,10430.936582381559,,321,0,energy_only|energy_only,0.0028100485214963555,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d9.4s.(1D).7p?,3d10.4s,118.862,10.43093939243008,0.0
40,118.97,vacuum,2519.899621753383,10421.467462848084,,320,0,energy_only|energy_only,0.0004631757637980627,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).10f,3d10.4s,118.97,10.42146699967232,0.0
41,118.9929,vacuum,2519.4146709593597,10419.461867515092,,319,0,energy_only|energy_only,0.0034118568491976475,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).7f<5/2>,3d10.4s,118.9929,10.419458455658242,0.0
42,119.0121,vacuum,2519.008218492069,10417.780915176161,,318,0,energy_only|energy_only,0.003753803677682299,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).12p<3/2>,3d10.4s,119.0121,10.417784668979841,0.0
43,119.0819,vacuum,2517.5316987720216,10411.674520267454,,317,0,energy_only|energy_only,0.0022722687335772207,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d9.4s.(3D).9p,3d10.4s,119.0819,10.411672247998721,0.0
44,119.136,vacuum,2516.388480392157,10406.946548944374,,316,0,energy_only|energy_only,0.0019010953055840218,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).21p<3/2>,3d10.4s,119.136,10.40694845003968,0.0
45,119.187,vacuum,2515.3117202379453,10402.493426758263,,315,0,energy_only|energy_only,0.003990558858276927,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).20p<3/2>,3d10.4s,119.187,10.402497417317122,0.0
46,119.2449,vacuum,2514.0903971574467,10397.442440347862,,314,0,energy_only|energy_only,0.003578325462513021,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).19p<3/2>,3d10.4s,119.2449,10.397438862022401,0.0
47,119.307,vacuum,2512.7817982180427,10392.03050998715,,312,0,energy_only|energy_only,0.0026409850106574595,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d9.4s.(1D).7p?,3d10.4s,119.307,10.39203315097216,0.0
48,119.307,vacuum,2512.7817982180427,10392.03050998715,,312,0,energy_only|energy_only,0.0026409850106574595,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).9f,3d10.4s,119.307,10.39203315097216,0.0
49,119.331,vacuum,2512.2764243993597,10389.940451810817,,311,0,energy_only|energy_only,0.002633791616972303,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).18p<3/2>,3d10.4s,119.331,10.3899378180192,0.0
50,119.394,vacuum,2510.950784796556,10384.458046928967,,310,0,energy_only|energy_only,0.00033047904798877425,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).11p<3/2>,3d10.4s,119.394,10.384457716449921,0.0
51,119.4461,vacuum,2509.855558281099,10379.928554009186,,309,0,energy_only|energy_only,0.003739199135452509,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).17p<3/2>,3d10.4s,119.4461,10.379932293208322,0.0
52,119.502,vacuum,2508.6815116065004,10375.073087103454,,308,0,energy_only|energy_only,0.0009744724120537285,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).14f,3d10.4s,119.502,10.375072112631042,0.0
53,119.511,vacuum,2508.492590640192,10374.291772765995,,307,0,energy_only|energy_only,0.0007605848750245059,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).16p<3/2>,3d10.4s,119.511,10.374291012181121,0.0
54,119.631,vacuum,2505.9763606423085,10363.885481648042,,306,0,energy_only|energy_only,0.0032562873184360797,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).13f,3d10.4s,119.631,10.36388873793536,0.0
55,119.639,vacuum,2505.808791447605,10363.192471142662,,305,0,energy_only|energy_only,0.0019552816593204625,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).15p<3/2>,3d10.4s,119.639,10.363194426424322,0.0
56,119.792,vacuum,2502.608337785495,10349.95645831973,,304,0,energy_only|energy_only,0.0035442845310171833,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).12f,3d10.4s,119.792,10.349952914035201,0.0
57,119.8029,vacuum,2502.3806435403485,10349.014790585512,,303,0,energy_only|energy_only,0.004156458151555853,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).14p<3/2>,3d10.4s,119.8029,10.34901063412736,0.0
58,119.8539,vacuum,2501.3158353628874,10344.611097803549,,302,0,energy_only|energy_only,0.0019027193884539884,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).8f,3d10.4s,119.8539,10.34460919508416,0.0
59,119.93,vacuum,2499.728658384057,10338.047061244366,,301,0,energy_only|energy_only,0.0033697444341669325,True,0.0,True,"(2,3/2)*",2S,1/2,1/2,odd,even,3d9.4s.(3D<2>).10p<3/2>,3d10.4s,119.93,10.338050430988801,0.0
60,120.0,vacuum,2498.2704833333337,10332.016533791975,,300,0,energy_only|energy_only,0.00413326525267621,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).11f,3d10.4s,120.0,10.332012400526722,0.0
61,120.024,vacuum,2497.770929147504,10329.950543683237,,299,0,energy_only|energy_only,0.003719150043252739,True,1.0,True,"(3,3/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<3>).13p<3/2>,3d10.4s,120.024,10.329954262833281,0.0
