# created_utc: 2025-08-09T20:27:31.927666Z
# generator: nist_lines_parser_v1
# ion: H_I
# raw_lines: data/raw/lines/H_I_lines_raw.csv
# raw_lines_sha256: 1872bccd6e1e20df71138494ef8cebb5709bd8f970585912171b595fe83180b1
# tidy_levels: data/tidy/levels/H_I_levels.csv
# tidy_levels_sha256: 8d08ef7f0a11912605c0a3d113b01d425937c6d07b533f1d89c210e5c2c712a4
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
29,91.81293175,vacuum,3265.2530780338575,13504.001674089192,,,0.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,12s,1s,91.81293175,,0.0
30,91.81293046,vacuum,3265.2531239116706,13504.001863824582,,,0.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,12p,1s,91.81293046,,0.0
31,91.81293188,vacuum,3265.2530734105126,13504.001654968573,,,0.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,12p,1s,91.81293188,,0.0
32,91.9351334,vacuum,3260.912851408339,13486.051939040717,,70.0,0.0,energy+term|energy_only,1.880433046608232e-06,,,,,2S,,1/2,,even,11,1s,91.9351334,13.48605194092115,0.0
33,91.93513419,vacuum,3260.9128233872657,13486.051823154869,,,0.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,11p,1s,91.93513419,,0.0
34,91.93513605,vacuum,3260.9127574136005,13486.051550309714,,,0.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,11p,1s,91.93513605,,0.0
35,91.935133577,vacuum,3260.9128451301995,13486.051913076419,,,0.0,no_tiebreak|energy_only,,False,2.0,False,2D,2S,5/2,1/2,even,even,11d,1s,91.935133577,,0.0
36,91.93513586,vacuum,3260.9127641528453,13486.051578180992,,,0.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,11s,1s,91.93513586,,0.0
37,92.0963006,vacuum,3255.2063008706773,13462.45154232652,,64.0,0.0,energy+term|energy_only,6.4291907619917765e-06,,,,,2S,,1/2,,even,10,1s,92.0963006,13.46245154875571,0.0
38,92.09630369,vacuum,3255.206191652533,13462.451090636567,,,0.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,10s,1s,92.09630369,,0.0
39,92.09630145,vacuum,3255.206270826851,13462.451418075236,,,0.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,10p,1s,92.09630145,,0.0
40,92.09630394,vacuum,3255.2061828161136,13462.451054092073,,,0.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,10p,1s,92.09630394,,0.0
41,92.3150275,vacuum,3247.4935676101054,13430.554240532907,,57.0,0.0,energy+term|energy_only,7.312204616027884e-06,,,,,2S,,1/2,,even,9,1s,92.3150275,13.430554233220702,0.0
42,92.315027375,vacuum,3247.4935720074036,13430.55425871867,,,0.0,no_tiebreak|energy_only,,False,2.0,False,2D,2S,5/2,1/2,even,even,9d,1s,92.315027375,,0.0
43,92.31503159,vacuum,3247.4934237305174,13430.553645494741,,,0.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,9s,1s,92.31503159,,0.0
44,92.3150285,vacuum,3247.493532431721,13430.554095046798,,,0.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,9p,1s,92.3150285,,0.0
45,92.31503193,vacuum,3247.493411769868,13430.553596029471,,,0.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,9p,1s,92.31503193,,0.0
46,92.6225665291,vacuum,3236.7107632005823,13385.960144664155,,48.0,0.0,energy_only|energy_only,5.957226676400751e-07,False,0.0,False,2S,2S,1/2,1/2,even,even,8s,1s,92.6225665291,13.385960144068433,0.0
47,92.6225621017,vacuum,3236.7109179168083,13385.960784519053,,,0.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,8p,1s,92.6225621017,,0.0
48,92.6225670063,vacuum,3236.7107465247504,13385.960075698456,,,0.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,8p,1s,92.6225670063,,0.0
49,92.6225605,vacuum,3236.7109738884833,13385.9610159993,,52.0,0.0,energy+term|energy_only,6.559170287800953e-06,,,,,2S,,1/2,,even,8,1s,92.6225605,13.38596102255847,0.0
50,93.074815048,vacuum,3220.9836554108947,13320.918053026833,,,0.0,no_tiebreak|energy_only,,False,2.0,False,2D,2S,5/2,1/2,even,even,7d,1s,93.074815048,,0.0
51,93.07482418,vacuum,3220.9833393853423,13320.916746050167,,,0.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,7s,1s,93.07482418,,0.0
52,93.07481751,vacuum,3220.9835702099567,13320.917700664068,,,0.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,7p,1s,93.07481751,,0.0
53,93.07482489,vacuum,3220.983314814808,13320.916644434601,,,0.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,7p,1s,93.07482489,,0.0
54,93.0748142,vacuum,3220.9836847571164,13320.918174393055,,46.0,0.0,energy+term|energy_only,6.220416253199801e-06,,,,,2S,,1/2,,even,7,1s,93.0748142,13.320918168172641,0.0
55,93.7803361139,vacuum,3196.7517970493295,13220.703139186862,,,0.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,6p,1s,93.7803361139,,0.0
56,93.780348032,vacuum,3196.7513907892935,13220.701459030353,,,0.0,no_tiebreak|energy_only,,True,0.0,True,2P*,2S,1/2,1/2,odd,even,6p,1s,93.780348032,,0.0
57,93.7803468734,vacuum,3196.7514302832415,13220.701622364199,,30.0,0.0,energy_only|energy_only,5.847341526532546e-07,False,0.0,False,2S,2S,1/2,1/2,even,even,6s,1s,93.7803468734,13.220701621779464,0.0
58,93.780331,vacuum,3196.751971370201,13220.703860120058,,35.0,0.0,energy+term|energy_only,2.5412493414478377e-05,,,,,2S,,1/2,,even,6,1s,93.780331,13.220703885532552,0.0
59,94.97429095,vacuum,3156.564318630483,13054.50108290634,,22.0,0.0,energy_only|energy_only,3.1600211514160037e-07,True,1.0,True,2P*,2S,3/2,1/2,odd,even,5p,1s,94.97429095,13.054501082590336,0.0
60,94.974287,vacuum,3156.564449912638,13054.501625845707,,23.0,0.0,energy+term|energy_only,6.55070434731897e-05,,,,,2S,,1/2,,even,5,1s,94.974287,13.054501691352751,0.0
61,94.97431207,vacuum,3156.5636166865893,13054.498179899656,,19.0,0.0,energy_only|energy_only,1.0192470654146746e-06,True,0.0,True,2P*,2S,1/2,1/2,odd,even,5p,1s,94.97431207,13.05449817888041,0.0
62,94.974283997,vacuum,3156.564549720319,13054.50203861711,,,0.0,no_tiebreak|energy_only,,False,2.0,False,2D,2S,5/2,1/2,even,even,5d,1s,94.974283997,,0.0
63,94.97431003,vacuum,3156.5636844879746,13054.498460303654,,,0.0,no_tiebreak|energy_only,,False,0.0,False,2S,2S,1/2,1/2,even,even,5s,1s,94.97431003,,0.0
64,97.25365,vacuum,3082.583100994153,12748.539351017025,,15.0,0.0,energy+term|energy_only,3.721847133419942e-05,,,,,2S,,1/2,,even,4,1s,97.25365,12.748539313798554,0.0
65,97.2536984969,vacuum,3082.5815638215136,12748.532993781797,,12.0,0.0,energy_only|energy_only,5.612928362097591e-07,False,0.0,False,2S,2S,1/2,1/2,even,even,4s,1s,97.2536984969,12.748532993220504,0.0
66,97.2536594376,vacuum,3082.582801856964,12748.538113885015,,14.0,0.0,energy_only|energy_only,5.634592525893822e-07,True,1.0,True,2P*,2S,3/2,1/2,odd,even,4p,1s,97.2536594376,12.748538113321555,0.0
67,97.253702695,vacuum,3082.5814307573187,12748.532443472504,,11.0,0.0,energy_only|energy_only,5.682632036041468e-07,True,0.0,True,2P*,2S,1/2,1/2,odd,even,4p,1s,97.253702695,12.748532442904239,0.0
68,102.572144677,vacuum,2922.747291129062,12087.51155549397,,10.0,0.0,energy_only|energy_only,5.156798579264432e-07,False,2.0,False,2D,2S,5/2,1/2,even,even,3d,1s,102.572144677,12.08751155497829,0.0
69,102.572182693,vacuum,2922.746207880582,12087.507075538226,,8.0,0.0,energy_only|energy_only,4.809771780855954e-07,False,1.0,False,2D,2S,3/2,1/2,even,even,3d,1s,102.572182693,12.087507075057248,0.0
70,102.572285517,vacuum,2922.743277961895,12087.49495836816,,6.0,0.0,energy_only|energy_only,5.345882527763024e-07,False,0.0,False,2S,2S,1/2,1/2,even,even,3s,1s,102.572285517,12.08749495783357,0.0
71,102.572182505,vacuum,2922.7462132375535,12087.507097692878,,9.0,0.0,energy_only|energy_only,5.664423952111974e-07,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3p,1s,102.572182505,12.087507097126435,0.0
72,102.5722,vacuum,2922.7457147258224,12087.505036014018,,7.0,0.0,energy+term|energy_only,0.00012559509741549846,,,,,2S,,1/2,,even,3,1s,102.5722,12.087505161609116,0.0
73,102.572296565,vacuum,2922.742963154985,12087.493656431392,,5.0,0.0,energy_only|energy_only,5.558886186918244e-07,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3p,1s,102.572296565,12.087493655875504,0.0
74,121.566823731,vacuum,2466.0713243884134,10198.851512305098,,4.0,0.0,energy_only|energy_only,4.4937405618838966e-07,True,1.0,True,2P*,2S,3/2,1/2,odd,even,2p,1s,121.566823731,10.198851511855723,0.0
75,121.5673644608,vacuum,2466.06035534043,10198.806147967698,,1.0,0.0,energy_only|energy_only,4.547582648228854e-07,True,0.0,True,2P*,2S,1/2,1/2,odd,even,2p,1s,121.5673644608,10.19880614751294,0.0
76,121.56701,vacuum,2466.0675457922343,10198.835885286944,,3.0,0.0,energy+term|energy_only,0.00011959799667238258,,,,,2S,,1/2,,even,2,1s,121.56701,10.198835765688948,0.0
77,121.56731231302,vacuum,2466.06141318707,10198.810522869875,,2.0,0.0,energy_only|energy_only,4.527282726485282e-07,False,0.0,False,2S,2S,1/2,1/2,even,even,2s,1s,121.56731231302,10.198810522417146,0.0
78,,vacuum,,,,,,no_tiebreak|no_tiebreak,,False,,False,term_k,term_i,J_k,J_i,even,even,conf_k,conf_i,,,
79,365.51234,vacuum,820.1979117859605,3392.066008099855,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,40,2,365.51234,,10.198835765688948
80,365.55993,vacuum,820.0911352620075,3391.6244158790514,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,39,2,365.55993,,10.198835765688948
81,365.61134,vacuum,819.9758191307742,3391.1475066802823,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,38,2,365.61134,,10.198835765688948
82,365.66698,vacuum,819.8510513582604,3390.6315086339946,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,37,2,365.66698,,10.198835765688948
83,365.72735,vacuum,819.7157199208644,3390.0718227801035,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,36,2,365.72735,,10.198835765688948
84,365.79299,vacuum,819.5686254129693,3389.463488775542,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,35,2,365.79299,,10.198835765688948
85,365.86453,vacuum,819.4083695404962,3388.800723740661,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,34,2,365.86453,,10.198835765688948
86,365.94271,vacuum,819.2333111376915,3388.076740359268,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,33,2,365.94271,,10.198835765688948
87,366.02837,vacuum,819.0415895904463,3387.2838437496985,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,32,2,366.02837,,10.198835765688948
88,366.12249,vacuum,818.831036574672,3386.413066444066,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,31,2,366.12249,,10.198835765688948
89,366.22625,vacuum,818.5990436239892,3385.4536206922276,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,30,2,366.22625,,10.198835765688948
90,366.34098,vacuum,818.3426762684317,3384.393370501539,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,29,2,366.34098,,10.198835765688948
91,366.46831,vacuum,818.0583417976851,3383.2174576160132,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,28,2,366.46831,,10.198835765688948
92,366.61016,vacuum,817.7418159933156,3381.9084120719317,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,27,2,366.61016,,10.198835765688948
93,366.76881,vacuum,817.3880925152823,3380.445529310513,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,26,2,366.76881,,10.198835765688948
94,366.94705,vacuum,816.9910563390549,3378.8035196223454,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,25,2,366.94705,,10.198835765688948
95,367.14823,vacuum,816.5433835810675,3376.952093858758,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,24,2,367.14823,,10.198835765688948
96,367.37649,vacuum,816.0360452025659,3374.853910915848,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,23,2,367.37649,,10.198835765688948
97,367.63692,vacuum,815.4579741338275,3372.463201070874,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,22,2,367.63692,,10.198835765688948
98,367.93589,vacuum,814.7953655730622,3369.722872251024,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,21,2,367.93589,,10.198835765688948
99,368.28143,vacuum,814.0308839356901,3366.561230239159,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,20,2,368.28143,,10.198835765688948
100,368.68376,vacuum,813.1425642398787,3362.8874351694712,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,19,2,368.68376,,10.198835765688948
101,369.15611,vacuum,812.1021158230321,3358.584486262565,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,18,2,369.15611,,10.198835765688948
102,369.71581,vacuum,810.8727024684176,3353.5000411668543,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,17,2,369.71581,,10.198835765688948
103,370.38593,vacuum,809.4056326599664,3347.432727952266,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,16,2,370.38593,,10.198835765688948
104,371.19774,vacuum,807.635461358143,3340.1118876829287,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,15,2,371.19774,,10.198835765688948
105,372.19449,vacuum,805.4725850455229,3331.166949986382,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,14,2,372.19449,,10.198835765688948
106,373.43746,vacuum,802.7916053199376,3320.079308741648,,,3.0,no_tiebreak|energy+term,,,,,,,,,,,13,2,373.43746,,10.198835765688948
107,375.0124905,vacuum,799.4199275877185,3306.1351700631867,,73.0,1.0,energy_only|energy_only,0.9394553867023205,True,1.0,True,2D,2P*,3/2,1/2,even,odd,12d,2p,375.0124905,13.504001862189424,10.19880614751294
108,375.0125118,vacuum,799.4198821821816,3306.134982280975,,,1.0,no_tiebreak|energy_only,,True,0.0,True,2S,2P*,1/2,1/2,even,odd,12s,2p,375.0125118,,10.19880614751294
109,375.01275,vacuum,799.4193744079369,3306.132882295434,,,,no_tiebreak|no_tiebreak,,,,,,,,,,,,,375.01275,,
110,375.0129789,vacuum,799.4188864592387,3306.1308643017655,,76.0,2.0,energy_only|energy_only,0.939454513129931,False,2.0,False,2D,2S,5/2,1/2,even,even,12d,2s,375.0129789,13.504001932205782,10.198810522417146
111,375.0129867,vacuum,799.4188698319017,3306.1307955366256,,,2.0,no_tiebreak|energy_only,,True,1.0,True,2P*,2S,3/2,1/2,odd,even,12p,2s,375.0129867,,10.198810522417146
112,375.0129869,vacuum,799.4188694055598,3306.1307937734164,,73.0,2.0,energy_only|energy_only,0.9394540011380741,False,1.0,False,2D,2S,3/2,1/2,even,even,12d,2s,375.0129869,13.504001862189424,10.198810522417146
